TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD
TD91,alexandre_dumas_pere-honneur_est_satisfait,L'honneur est satisfait,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1858-06-19,,Comédie,,TD91
TD92,alexandre_dumas_pere-intrigue_et_amour,Intrigue et Amour,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1847-07-11,,,,TD92
TD93,alexandre_dumas_pere-invitation_a_la_valse,L’invitation à la valse,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1857-08-03,,Comédie,prose,TD93
TD94,alexandre_dumas_pere-jeunesse_de_louis_xiv,La jeunesse de Louis XIV,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1854-01-20,,Vaudeville,prose,TD94
TD95,alexandre_dumas_pere-kean_ou_desordre_et_genie,Kean,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1836-08-31,,Comédie,,TD95
TD96,alexandre_dumas_pere-laird_de_dumbiky,Le Laird de Dumbiky,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1843-12-30,,Comédie,prose,TD96
TD97,alexandre_dumas_pere-lorenzino,Lorenzino,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1842-02-24,,,prose,TD97
TD98,alexandre_dumas_pere-louise_bernard,Louise Bernard,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1843-11-18,,,prose,TD98
TD99,alexandre_dumas_pere-madame_de_chamblay,Madame de Chamblay,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1868-06-04,,,,TD99
TD100,alexandre_dumas_pere-mademoiselle_de_belle_isle,Mademoiselle de Belle-Isle,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1839-04-12,,,prose,TD100
TD101,alexandre_dumas_pere-mariage_sous_louis_xv,Un mariage sous Louis XV,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1841-06-01,,,prose,TD101
TD102,alexandre_dumas_pere-mohicans_de_paris,Les Mohicans de Paris,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1864-08-20,,,,TD102
TD103,alexandre_dumas_pere-napoleon_bonaparte_ou_trente_ans_de_l_histoire_de_france,Napoléon Bonaparte,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1831-01-10,,,,TD103
TD104,alexandre_dumas_pere-orestie,L'Orestie,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1856-01-05,,Tragédie,vers,TD104
