Nom,Acte 1,Acte 2,Acte 3,Acte 4,Acte 5,Piece,Personnages
Mademoiselle Lange,"[{'#mariette', '#leopold'}, {'#julie', '#leopold'}, {'#julie', '#mariette'}, {'#julie', '#mademoiselle-lange'}, {'#mariette', '#simon'}, {'#julie', '#mariette', '#simon'}, {'#julie', '#simon'}, {'#julie', '#le-domestique', '#simon'}, {'#julie', '#mademoiselle-lange'}, {'#julie', '#mademoiselle-lange', '#leopold'}, {'#mademoiselle-lange', '#leopold'}, {'#mademoiselle-lange'}, {'#julie', '#mariette', '#mademoiselle-lange'}, {'#julie', '#mariette', '#mademoiselle-lange'}, {'#julie', '#simon'}, {'#julie', '#mariette', '#simon'}, {'#julie', '#simon', '#leopold'}, {'#leopold', '#julie', '#mariette', '#mademoiselle-lange', '#choeur', '#simon'}]",[],[],[],[],"[{'#mariette', '#leopold'}, {'#julie', '#leopold'}, {'#julie', '#mariette'}, {'#julie', '#mademoiselle-lange'}, {'#mariette', '#simon'}, {'#julie', '#mariette', '#simon'}, {'#julie', '#simon'}, {'#julie', '#le-domestique', '#simon'}, {'#julie', '#mademoiselle-lange'}, {'#julie', '#mademoiselle-lange', '#leopold'}, {'#mademoiselle-lange', '#leopold'}, {'#mademoiselle-lange'}, {'#julie', '#mariette', '#mademoiselle-lange'}, {'#julie', '#mariette', '#mademoiselle-lange'}, {'#julie', '#simon'}, {'#julie', '#mariette', '#simon'}, {'#julie', '#simon', '#leopold'}, {'#leopold', '#julie', '#mariette', '#mademoiselle-lange', '#choeur', '#simon'}]","{'#leopold', '#julie', '#mariette', '#le-domestique', '#mademoiselle-lange', '#choeur', '#simon'}"
,,,,,,,
Ca n'en Est pas ou Tout ce qui Reluit n'est pas or,"[{'#janot', '#dodinet'}, {'#janot'}, {'#janot', '#ragot'}, {'#janot'}, {'#janot', '#simon'}, {'#janot'}, {'#janot', '#dodinet'}, {'#madame-ragot', '#ragot'}, {'#ragot', '#simon'}, {'#dodinet', '#perrette'}, {'#janot'}, {'#janot', '#dodinet'}, {'#janot'}, {'#ragot', '#l-orfevre', '#janot'}, {'#ragot'}, {'#madame-ragot', '#ragot', '#dodinet'}, {'#madame-ragot', '#ragot', '#suzon', '#perrette'}, {'#madame-ragot', '#janot', '#suzon', '#perrette'}, {'#janot', '#ragot', '#simon'}, {'#madame-ragot', '#perrette', '#dodinet', '#suzon', '#simon', '#le-notaire', '#ragot', '#le-cabaretier'}, {'#janot'}, {'#janot', '#dodinet'}, {'#janot', '#le-philosophe'}]",[],[],[],[],"[{'#janot', '#dodinet'}, {'#janot'}, {'#janot', '#ragot'}, {'#janot'}, {'#janot', '#simon'}, {'#janot'}, {'#janot', '#dodinet'}, {'#madame-ragot', '#ragot'}, {'#ragot', '#simon'}, {'#dodinet', '#perrette'}, {'#janot'}, {'#janot', '#dodinet'}, {'#janot'}, {'#ragot', '#l-orfevre', '#janot'}, {'#ragot'}, {'#madame-ragot', '#ragot', '#dodinet'}, {'#madame-ragot', '#ragot', '#suzon', '#perrette'}, {'#madame-ragot', '#janot', '#suzon', '#perrette'}, {'#janot', '#ragot', '#simon'}, {'#madame-ragot', '#perrette', '#dodinet', '#suzon', '#simon', '#le-notaire', '#ragot', '#le-cabaretier'}, {'#janot'}, {'#janot', '#dodinet'}, {'#janot', '#le-philosophe'}]","{'#madame-ragot', '#janot', '#le-philosophe', '#l-orfevre', '#perrette', '#dodinet', '#suzon', '#simon', '#le-notaire', '#ragot', '#le-cabaretier'}"
,,,,,,,
La Comédie à l'Impromptu,"[{'#lisette', '#frontin'}, {'#lourdis', '#lisette', '#frontin'}, {'#lisette', '#madame-lourdis', '#valere', '#lourdis', '#frontin'}, {'#lisette', '#valere', '#lourdis', '#finot-fils', '#frontin'}, {'#frontin', '#madame-lourdis', '#valere', '#lourdis', '#finot-fils'}, {'#valere', '#lisette', '#frontin'}, {'#frontin', '#valere'}, {'#lourdis', '#frontin', '#valere'}, {'#lisette', '#madame-lourdis', '#lourdis', '#madame-finot', '#angelique', '#finot-fils'}, {'#lisette', '#madame-lourdis', '#valere', '#lourdis', '#madame-finot', '#finot-fils', '#angelique', '#frontin'}, {'#frontin', '#valere', '#madame-finot', '#lourdis', '#finot-fils'}, {'#lisette', '#frontin', '#valere', '#madame-finot', '#lourdis', '#finot-fils'}, {'#bonne-foi', '#lisette', '#madame-lourdis', '#valere', '#madame-finot', '#lourdis', '#finot-fils', '#frontin'}]",[],[],[],[],"[{'#lisette', '#frontin'}, {'#lourdis', '#lisette', '#frontin'}, {'#lisette', '#madame-lourdis', '#valere', '#lourdis', '#frontin'}, {'#lisette', '#valere', '#lourdis', '#finot-fils', '#frontin'}, {'#frontin', '#madame-lourdis', '#valere', '#lourdis', '#finot-fils'}, {'#valere', '#lisette', '#frontin'}, {'#frontin', '#valere'}, {'#lourdis', '#frontin', '#valere'}, {'#lisette', '#madame-lourdis', '#lourdis', '#madame-finot', '#angelique', '#finot-fils'}, {'#lisette', '#madame-lourdis', '#valere', '#lourdis', '#madame-finot', '#finot-fils', '#angelique', '#frontin'}, {'#frontin', '#valere', '#madame-finot', '#lourdis', '#finot-fils'}, {'#lisette', '#frontin', '#valere', '#madame-finot', '#lourdis', '#finot-fils'}, {'#bonne-foi', '#lisette', '#madame-lourdis', '#valere', '#madame-finot', '#lourdis', '#finot-fils', '#frontin'}]","{'#bonne-foi', '#lisette', '#madame-lourdis', '#valere', '#lourdis', '#madame-finot', '#finot-fils', '#angelique', '#frontin'}"
,,,,,,,
"Les Etrennes de l'Amitié, de l'Amour et de la Nature","[{'#sophie'}, {'#sophie', '#d-inville', '#madame-de-saint-franc'}, {'#monsieur-de-saint-franc', '#madame-de-saint-franc'}, {'#monsieur-de-saint-franc', '#le-petit', '#madame-de-saint-franc', '#prud-homme'}, {'#monsieur-de-saint-franc'}, {'#monsieur-de-saint-franc', '#d-inville'}, {'#le-notaire', '#d-inville', '#monsieur-de-saint-franc'}, {'#monsieur-de-saint-franc', '#d-inville', '#le-valet'}, {'#d-inville', '#le-valet'}, {'#monsieur-de-saint-franc', '#le-valet'}, {'#monsieur-de-saint-franc', '#sophie', '#d-inville', '#madame-de-saint-franc'}, {'#monsieur-de-saint-franc', '#madame-dormont'}, {'#madame-dormont', '#d-inville'}, {'#madame-dormont', '#madame-de-saint-franc'}, {'#madame-dormont', '#sophie'}, {'#madame-dormont'}, {'#madame-dormont', '#monsieur-d-herbain'}, {'#monsieur-d-herbain'}, {'#sophie', '#monsieur-d-herbain', '#d-inville'}, {'#sophie', '#d-inville', '#monsieur-de-saint-franc', '#madame-de-saint-franc', '#monsieur-d-herbain'}, {'#monsieur-de-saint-franc', '#madame-dormont', '#monsieur-d-herbain', '#madame-de-saint-franc'}]",[],[],[],[],"[{'#sophie'}, {'#sophie', '#d-inville', '#madame-de-saint-franc'}, {'#monsieur-de-saint-franc', '#madame-de-saint-franc'}, {'#monsieur-de-saint-franc', '#le-petit', '#madame-de-saint-franc', '#prud-homme'}, {'#monsieur-de-saint-franc'}, {'#monsieur-de-saint-franc', '#d-inville'}, {'#le-notaire', '#d-inville', '#monsieur-de-saint-franc'}, {'#monsieur-de-saint-franc', '#d-inville', '#le-valet'}, {'#d-inville', '#le-valet'}, {'#monsieur-de-saint-franc', '#le-valet'}, {'#monsieur-de-saint-franc', '#sophie', '#d-inville', '#madame-de-saint-franc'}, {'#monsieur-de-saint-franc', '#madame-dormont'}, {'#madame-dormont', '#d-inville'}, {'#madame-dormont', '#madame-de-saint-franc'}, {'#madame-dormont', '#sophie'}, {'#madame-dormont'}, {'#madame-dormont', '#monsieur-d-herbain'}, {'#monsieur-d-herbain'}, {'#sophie', '#monsieur-d-herbain', '#d-inville'}, {'#sophie', '#d-inville', '#monsieur-de-saint-franc', '#madame-de-saint-franc', '#monsieur-d-herbain'}, {'#monsieur-de-saint-franc', '#madame-dormont', '#monsieur-d-herbain', '#madame-de-saint-franc'}]","{'#sophie', '#madame-dormont', '#d-inville', '#monsieur-de-saint-franc', '#le-valet', '#prud-homme', '#madame-de-saint-franc', '#le-notaire', '#monsieur-d-herbain', '#le-petit'}"
,,,,,,,
Hurlubrelu,"[{'#germain'}, {'#hurlubrelu'}, {'#craquignac', '#hurlubrelu', '#germain'}, {'#craquignac', '#hurlubrelu', '#germain'}, {'#l-huissier', '#craquignac', '#hurlubrelu', '#germain'}, {'#l-huissier', '#hurlubrelu', '#germain'}, {'#hurlubrelu', '#germain'}, {'#hurlubrelu'}, {'#hurlubrelu', '#madame-germain'}, {'#hurlubrelu'}, {'#hurlubrelu', '#mademoiselle-germain'}, {'#hurlubrelu', '#mademoiselle-germain', '#madame-germain'}, {'#hurlubrelu'}, {'#joseph', '#hurlubrelu'}, {'#javotte', '#hurlubrelu'}, {'#germain'}, {'#hurlubrelu'}, {'#javotte', '#germain'}, {'#hurlubrelu', '#germain'}, {'#javotte', '#germain'}, {'#le-porte-faix', '#le-perruquier', '#hurlubrelu'}, {'#javotte', '#hurlubrelu'}, {'#le-notaire', '#hurlubrelu'}, {'#hurlubrelu'}, {'#javotte', '#le-garçon'}, {'#javotte', '#hurlubrelu', '#le-soldat', '#le-garçon'}, {'#javotte', '#le-soldat', '#le-garçon'}, {'#hurlubrelu', '#le-soldat', '#le-garçon', '#javotte', '#le-cabaretier'}]",[],[],[],[],"[{'#germain'}, {'#hurlubrelu'}, {'#craquignac', '#hurlubrelu', '#germain'}, {'#craquignac', '#hurlubrelu', '#germain'}, {'#l-huissier', '#craquignac', '#hurlubrelu', '#germain'}, {'#l-huissier', '#hurlubrelu', '#germain'}, {'#hurlubrelu', '#germain'}, {'#hurlubrelu'}, {'#hurlubrelu', '#madame-germain'}, {'#hurlubrelu'}, {'#hurlubrelu', '#mademoiselle-germain'}, {'#hurlubrelu', '#mademoiselle-germain', '#madame-germain'}, {'#hurlubrelu'}, {'#joseph', '#hurlubrelu'}, {'#javotte', '#hurlubrelu'}, {'#germain'}, {'#hurlubrelu'}, {'#javotte', '#germain'}, {'#hurlubrelu', '#germain'}, {'#javotte', '#germain'}, {'#le-porte-faix', '#le-perruquier', '#hurlubrelu'}, {'#javotte', '#hurlubrelu'}, {'#le-notaire', '#hurlubrelu'}, {'#hurlubrelu'}, {'#javotte', '#le-garçon'}, {'#javotte', '#hurlubrelu', '#le-soldat', '#le-garçon'}, {'#javotte', '#le-soldat', '#le-garçon'}, {'#hurlubrelu', '#le-soldat', '#le-garçon', '#javotte', '#le-cabaretier'}]","{'#joseph', '#javotte', '#le-perruquier', '#hurlubrelu', '#le-soldat', '#madame-germain', '#le-garçon', '#craquignac', '#le-notaire', '#l-huissier', '#le-porte-faix', '#mademoiselle-germain', '#germain', '#le-cabaretier'}"
,,,,,,,
Janot,"[{'#madame-ragot'}, {'#madame-ragot', '#ragot'}, {'#madame-ragot', '#ragot', '#janot'}, {'#madame-ragot', '#ragot'}, {'#suzon', '#ragot'}, {'#suzon', '#janot', '#ragot', '#simon'}, {'#janot', '#ragot', '#dodinet'}, {'#janot'}, {'#ragot', '#le-clerc', '#janot'}, {'#janot'}, {'#ragot', '#le-garçon'}, {'#le-patissier', '#ragot', '#janot'}, {'#janot', '#ragot'}, {'#janot', '#ragot'}, {'#janot'}, {'#ragot', '#simon'}, {'#ragot', '#simon'}, {'#madame-ragot', '#ragot'}, {'#madame-ragot', '#janot', '#ragot', '#simon'}, {'#le-caporal', '#simon', '#ragot', '#madame-ragot'}, {'#madame-ragot', '#le-caporal', '#le-clerc', '#suzon', '#simon', '#ragot'}, {'#janot'}]",[],[],[],[],"[{'#madame-ragot'}, {'#madame-ragot', '#ragot'}, {'#madame-ragot', '#ragot', '#janot'}, {'#madame-ragot', '#ragot'}, {'#suzon', '#ragot'}, {'#suzon', '#janot', '#ragot', '#simon'}, {'#janot', '#ragot', '#dodinet'}, {'#janot'}, {'#ragot', '#le-clerc', '#janot'}, {'#janot'}, {'#ragot', '#le-garçon'}, {'#le-patissier', '#ragot', '#janot'}, {'#janot', '#ragot'}, {'#janot', '#ragot'}, {'#janot'}, {'#ragot', '#simon'}, {'#ragot', '#simon'}, {'#madame-ragot', '#ragot'}, {'#madame-ragot', '#janot', '#ragot', '#simon'}, {'#le-caporal', '#simon', '#ragot', '#madame-ragot'}, {'#madame-ragot', '#le-caporal', '#le-clerc', '#suzon', '#simon', '#ragot'}, {'#janot'}]","{'#madame-ragot', '#le-patissier', '#janot', '#le-caporal', '#le-garçon', '#le-clerc', '#dodinet', '#suzon', '#simon', '#ragot'}"
,,,,,,,
Janot chez le Dégraisseur,"[{'#janot', '#perrette'}, {'#perrette', '#madame-simon'}, {'#madame-simon'}, {'#madame-simon', '#simon'}, {'#le-suisse', '#madame-simon', '#mademoiselle-courtois'}, {'#le-suisse', '#madame-simon', '#simon'}, {'#le-suisse', '#madame-simon', '#perrette'}, {'#perrette', '#madame-simon', '#simon'}, {'#janot', '#simon'}, {'#simon', '#janot', '#madame-simon'}, {'#le-suisse', '#janot'}, {'#janot', '#madame-simon', '#le-clerc', '#simon', '#le-suisse'}, {'#janot', '#madame-simon', '#le-clerc', '#simon'}, {'#janot', '#simon'}, {'#la-comtesse', '#l-abbe', '#madame-simon'}, {'#la-comtesse', '#janot', '#l-abbe', '#simon', '#madame-simon'}, {'#janot', '#simon'}]",[],[],[],[],"[{'#janot', '#perrette'}, {'#perrette', '#madame-simon'}, {'#madame-simon'}, {'#madame-simon', '#simon'}, {'#le-suisse', '#madame-simon', '#mademoiselle-courtois'}, {'#le-suisse', '#madame-simon', '#simon'}, {'#le-suisse', '#madame-simon', '#perrette'}, {'#perrette', '#madame-simon', '#simon'}, {'#janot', '#simon'}, {'#simon', '#janot', '#madame-simon'}, {'#le-suisse', '#janot'}, {'#janot', '#madame-simon', '#le-clerc', '#simon', '#le-suisse'}, {'#janot', '#madame-simon', '#le-clerc', '#simon'}, {'#janot', '#simon'}, {'#la-comtesse', '#l-abbe', '#madame-simon'}, {'#la-comtesse', '#janot', '#l-abbe', '#simon', '#madame-simon'}, {'#janot', '#simon'}]","{'#la-comtesse', '#janot', '#madame-simon', '#perrette', '#le-clerc', '#mademoiselle-courtois', '#l-abbe', '#simon', '#le-suisse'}"
,,,,,,,
Jocrisse Changé de Condition,"[{'#le-colporteur', '#jocrisse'}, {'#le-colporteur', '#jocrisse'}, {'#jocrisse'}, {'#dupont', '#jocrisse'}, {'#dupont'}, {'#dupont', '#dorval', '#jocrisse'}, {'#jocrisse'}, {'#dorval', '#madame-dupont'}, {'#dupont', '#dorval', '#madame-dupont'}, {'#ursule', '#madame-dupont'}, {'#dupont', '#dorval', '#madame-dupont'}, {'#dupont', '#dorval', '#jocrisse', '#madame-dupont'}, {'#dupont', '#ursule', '#jocrisse', '#madame-dupont'}]","[{'#ursule'}, {'#ursule', '#jocrisse'}, {'#jocrisse'}, {'#glaude', '#jocrisse'}, {'#jocrisse'}, {'#ursule', '#jocrisse'}, {'#dupont', '#dorval', '#ursule', '#madame-dupont'}, {'#dupont', '#ursule', '#madame-dupont'}, {'#dupont', '#dorval', '#jocrisse', '#madame-dupont'}, {'#dupont', '#dorval', '#madame-dupont'}, {'#dupont', '#dorval', '#jocrisse', '#madame-dupont'}, {'#jocrisse', '#madame-dupont'}, {'#dupont', '#dorval', '#jocrisse', '#madame-dupont'}, {'#jocrisse'}, {'#ursule', '#jocrisse'}, {'#jocrisse'}, {'#le-colporteur', '#jocrisse'}, {'#jocrisse'}, {'#dupont', '#jocrisse'}, {'#dorval', '#ursule', '#jocrisse', '#madame-dupont', '#dupont'}]",[],[],[],"[{'#le-colporteur', '#jocrisse'}, {'#le-colporteur', '#jocrisse'}, {'#jocrisse'}, {'#dupont', '#jocrisse'}, {'#dupont'}, {'#dupont', '#dorval', '#jocrisse'}, {'#jocrisse'}, {'#dorval', '#madame-dupont'}, {'#dupont', '#dorval', '#madame-dupont'}, {'#ursule', '#madame-dupont'}, {'#dupont', '#dorval', '#madame-dupont'}, {'#dupont', '#dorval', '#jocrisse', '#madame-dupont'}, {'#dupont', '#ursule', '#jocrisse', '#madame-dupont'}, {'#ursule'}, {'#ursule', '#jocrisse'}, {'#jocrisse'}, {'#glaude', '#jocrisse'}, {'#jocrisse'}, {'#ursule', '#jocrisse'}, {'#dupont', '#dorval', '#ursule', '#madame-dupont'}, {'#dupont', '#ursule', '#madame-dupont'}, {'#dupont', '#dorval', '#jocrisse', '#madame-dupont'}, {'#dupont', '#dorval', '#madame-dupont'}, {'#dupont', '#dorval', '#jocrisse', '#madame-dupont'}, {'#jocrisse', '#madame-dupont'}, {'#dupont', '#dorval', '#jocrisse', '#madame-dupont'}, {'#jocrisse'}, {'#ursule', '#jocrisse'}, {'#jocrisse'}, {'#le-colporteur', '#jocrisse'}, {'#jocrisse'}, {'#dupont', '#jocrisse'}, {'#dorval', '#ursule', '#jocrisse', '#madame-dupont', '#dupont'}]","{'#le-colporteur', '#dorval', '#ursule', '#jocrisse', '#madame-dupont', '#glaude', '#dupont'}"
,,,,,,,
"On Fait ce qu'on Peut, Non pas ce qu'on Veut","[{'#franville'}, {'#le-soufleur', '#franville'}, {'#franville'}, {'#le-valet', '#franville'}, {'#franville'}, {'#franville', '#leandre'}, {'#pointu', '#franville'}, {'#franville', '#en-dedans'}, {'#franville', '#madame-pointu'}, {'#pointu', '#madame-pointu', '#franville', '#leandre'}, {'#l-abbe', '#franville'}, {'#franville'}, {'#franville', '#le-fiacre'}, {'#franville'}, {'#le-commissaire', '#le-jeune-homme', '#franville'}]",[],[],[],[],"[{'#franville'}, {'#le-soufleur', '#franville'}, {'#franville'}, {'#le-valet', '#franville'}, {'#franville'}, {'#franville', '#leandre'}, {'#pointu', '#franville'}, {'#franville', '#en-dedans'}, {'#franville', '#madame-pointu'}, {'#pointu', '#madame-pointu', '#franville', '#leandre'}, {'#l-abbe', '#franville'}, {'#franville'}, {'#franville', '#le-fiacre'}, {'#franville'}, {'#le-commissaire', '#le-jeune-homme', '#franville'}]","{'#pointu', '#madame-pointu', '#le-valet', '#le-commissaire', '#l-abbe', '#en-dedans', '#le-jeune-homme', '#le-soufleur', '#franville', '#le-fiacre', '#leandre'}"
,,,,,,,
Mon Ami Naze,[{'#l-ami'}],[],[],[],[],[{'#l-ami'}],{'#l-ami'}
,,,,,,,
Les Guêpes,"[{'#xanthias', '#sosias'}, {'#philokleon', '#bdelikleon', '#xanthias', '#sosias'}, {'#le-choeur', '#l-enfant', '#philokleon'}, {'#bdelikleon', '#xanthias'}, {'#le-choeur', '#philokleon', '#xanthias', '#sosias', '#bdelikleon'}, {'#bdelikleon', '#xanthias', '#philokleon', '#le-choeur'}, {'#bdelikleon', '#xanthias', '#philokleon'}, {'#le-choeur', '#bdelikleon', '#philokleon'}, {'#le-choeur', '#xanthias'}, {'#bdelikleon', '#philokleon'}, {'#philokleon', '#bdelikleon', '#l-accusateur', '#la-boulangere'}, {'#le-choeur', '#bdelikleon', '#xanthias', '#philokleon'}]",[],[],[],[],"[{'#xanthias', '#sosias'}, {'#philokleon', '#bdelikleon', '#xanthias', '#sosias'}, {'#le-choeur', '#l-enfant', '#philokleon'}, {'#bdelikleon', '#xanthias'}, {'#le-choeur', '#philokleon', '#xanthias', '#sosias', '#bdelikleon'}, {'#bdelikleon', '#xanthias', '#philokleon', '#le-choeur'}, {'#bdelikleon', '#xanthias', '#philokleon'}, {'#le-choeur', '#bdelikleon', '#philokleon'}, {'#le-choeur', '#xanthias'}, {'#bdelikleon', '#philokleon'}, {'#philokleon', '#bdelikleon', '#l-accusateur', '#la-boulangere'}, {'#le-choeur', '#bdelikleon', '#xanthias', '#philokleon'}]","{'#l-accusateur', '#le-choeur', '#l-enfant', '#philokleon', '#xanthias', '#sosias', '#la-boulangere', '#bdelikleon'}"
,,,,,,,
Le Cri de la Nature,"[{'#suzon', '#madame-gervais'}, {'#suzon', '#vincent'}, {'#madame-mongei'}, {'#suzon', '#vincent', '#madame-mongei'}, {'#suzon', '#madame-mongei'}, {'#madame-mongei', '#vincent', '#suzon', '#mongei'}, {'#mongei', '#suzon', '#madame-mongei'}, {'#mongei', '#vincent', '#suzon', '#madame-mongei'}, {'#marlot', '#vincent', '#le-personnage-de-geolier', '#boncour', '#mongei', '#madame-mongei'}, {'#suzon', '#vincent', '#boncour', '#marlot'}, {'#suzon', '#boncour'}, {'#suzon', '#vincent', '#boncour'}, {'#madame-gervais', '#marlot', '#vincent', '#suzon', '#madame-mongei', '#boncour'}, {'#madame-gervais', '#vincent', '#madame-mongei', '#mongei', '#boncour'}]",[],[],[],[],"[{'#suzon', '#madame-gervais'}, {'#suzon', '#vincent'}, {'#madame-mongei'}, {'#suzon', '#vincent', '#madame-mongei'}, {'#suzon', '#madame-mongei'}, {'#madame-mongei', '#vincent', '#suzon', '#mongei'}, {'#mongei', '#suzon', '#madame-mongei'}, {'#mongei', '#vincent', '#suzon', '#madame-mongei'}, {'#marlot', '#vincent', '#le-personnage-de-geolier', '#boncour', '#mongei', '#madame-mongei'}, {'#suzon', '#vincent', '#boncour', '#marlot'}, {'#suzon', '#boncour'}, {'#suzon', '#vincent', '#boncour'}, {'#madame-gervais', '#marlot', '#vincent', '#suzon', '#madame-mongei', '#boncour'}, {'#madame-gervais', '#vincent', '#madame-mongei', '#mongei', '#boncour'}]","{'#madame-gervais', '#marlot', '#vincent', '#le-personnage-de-geolier', '#suzon', '#mongei', '#madame-mongei', '#boncour'}"
,,,,,,,
Horatius Coclès.,"[{'#le-choeur', '#choeur-des-romaines', '#choeur-des-romains', '#valerius', '#horace'}, {'#le-choeur', '#choeur-general', '#mutius', '#le-peuple', '#valerius', '#horace'}, {'#valerius', '#horace'}, {'#horace'}, {'#un-romain', '#le-soldat', '#horace'}, {'#un-romain', '#le-jeune-horace', '#horace', '#le-depute'}, {'#un-romain', '#le-choeur', '#horace', '#un-soldat'}, {'#le-choeur', '#horace', '#mutius'}, {'#choeur-general', '#valerius', '#horace'}]",[],[],[],[],"[{'#le-choeur', '#choeur-des-romaines', '#choeur-des-romains', '#valerius', '#horace'}, {'#le-choeur', '#choeur-general', '#mutius', '#le-peuple', '#valerius', '#horace'}, {'#valerius', '#horace'}, {'#horace'}, {'#un-romain', '#le-soldat', '#horace'}, {'#un-romain', '#le-jeune-horace', '#horace', '#le-depute'}, {'#un-romain', '#le-choeur', '#horace', '#un-soldat'}, {'#le-choeur', '#horace', '#mutius'}, {'#choeur-general', '#valerius', '#horace'}]","{'#un-soldat', '#le-choeur', '#le-jeune-horace', '#un-romain', '#le-soldat', '#le-depute', '#choeur-des-romaines', '#choeur-general', '#mutius', '#le-peuple', '#choeur-des-romains', '#valerius', '#horace'}"
,,,,,,,
L'Héroïne Américaine,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]","[set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]","[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]",[],[],"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]",set()
,,,,,,,
Le Centenaire de Molière,"[{'#momus', '#thalie'}, {'#thalie'}, {'#sosie', '#thalie'}, {'#lelie', '#thalie'}, {'#lelie', '#thalie', '#sosie'}, {'#lelie', '#momus', '#thalie'}, {'#thalie', '#momus', '#sosie'}, {'#momus', '#sosie'}, {'#tartuffe', '#momus'}, {'#momus', '#sosie'}, {'#sosie', '#momus', '#madame-pernelle'}, {'#momus', '#sosie'}, {'#harpagon', '#momus', '#sosie'}, {'#harpagon', '#trissotin', '#momus', '#sosie'}, {'#trissotin', '#momus', '#sosie'}, {'#alceste', '#trissotin', '#momus', '#sosie'}, {'#alceste', '#momus', '#sosie'}, {'#momus', '#sosie'}, {'#clitandre', '#claudine', '#angelique', '#momus'}, {'#claudine', '#angelique', '#george-dandin', '#momus'}, {'#monsieur-jourdain', '#momus', '#angelique', '#sosie'}, {'#monsieur-jourdain', '#tartuffe', '#momus', '#sosie', '#thalie', '#trissotin'}, {'#momus', '#sosie', '#thalie', '#lelie', '#tous-les-acteurs'}, {'#monsieur-brizard', '#monsieur-le-kain', '#choeur', '#thalie'}, set()]",[],[],[],[],"[{'#momus', '#thalie'}, {'#thalie'}, {'#sosie', '#thalie'}, {'#lelie', '#thalie'}, {'#lelie', '#thalie', '#sosie'}, {'#lelie', '#momus', '#thalie'}, {'#thalie', '#momus', '#sosie'}, {'#momus', '#sosie'}, {'#tartuffe', '#momus'}, {'#momus', '#sosie'}, {'#sosie', '#momus', '#madame-pernelle'}, {'#momus', '#sosie'}, {'#harpagon', '#momus', '#sosie'}, {'#harpagon', '#trissotin', '#momus', '#sosie'}, {'#trissotin', '#momus', '#sosie'}, {'#alceste', '#trissotin', '#momus', '#sosie'}, {'#alceste', '#momus', '#sosie'}, {'#momus', '#sosie'}, {'#clitandre', '#claudine', '#angelique', '#momus'}, {'#claudine', '#angelique', '#george-dandin', '#momus'}, {'#monsieur-jourdain', '#momus', '#angelique', '#sosie'}, {'#monsieur-jourdain', '#tartuffe', '#momus', '#sosie', '#thalie', '#trissotin'}, {'#momus', '#sosie', '#thalie', '#lelie', '#tous-les-acteurs'}, {'#monsieur-brizard', '#monsieur-le-kain', '#choeur', '#thalie'}, set()]","{'#clitandre', '#claudine', '#monsieur-jourdain', '#tartuffe', '#momus', '#sosie', '#choeur', '#harpagon', '#madame-pernelle', '#george-dandin', '#monsieur-le-kain', '#alceste', '#angelique', '#thalie', '#lelie', '#tous-les-acteurs', '#trissotin', '#monsieur-brizard'}"
,,,,,,,
