,TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,Normalized Year,yearPrinted,dateWriting,datePremiered,Genre,Genre (bis),Type,in_TD,in_Dracor,in_BD,Empty text
2689,,ronsin-aretaphile,Arétaphile ou La Révolution de Cyrene,Charles-Philippe Ronsin,Charles Philippe Ronsin,,Q921462,1791.0,1793.0,,,Tragedy,Tragedy,,,fre001233,,False
2690,,ronsin-ligues-des-fanatiques,La Ligue des Fanatiques et des Tyrans,Charles-Philippe Ronsin,Charles Philippe Ronsin,,Q921462,1791.0,1792.0,,,Tragedy,Tragedy,,,fre001234,,False
2691,,rosimond-avocat-savetier,L'Avocat Savetier,Claude Rose Rosimond,Claude Rose Rosimond,,Q3442663,1670.0,1683.0,,,Comedy,Comedy,,,fre001235,,False
2692,,rosimond-festin-de-pierre,Le Nouveau Festin de Pierre ou L'Athée Foudroyé,Claude Rose Rosimond,Claude Rose Rosimond,,Q3442663,1669.0,1670.0,,,Tragicomedy,Tragi-comedy,,,fre001236,,False
2693,,rotrou-amarillis,Amarillis,Jean De Rotrou,Jean De Rotrou,,Q561715,1652.0,1653.0,,,,,,,fre001238,,False
2694,,rotrou-belisaire,Le Bélissaire,Jean De Rotrou,Jean De Rotrou,,Q561715,1644.0,1644.0,,,Tragedy,Tragedy,,,fre001242,,False
2695,,rotrou-cosroes,Cosroës,Jean De Rotrou,Jean De Rotrou,,Q561715,1648.0,1649.0,,,Tragedy,Tragedy,,,fre001247,,False
2696,,rougemont-discours-de-rentree,Discours de Rentrée,Michel-Nicolas Balisson De Rougemont,Michel Nicolas Balisson De Rougemont,,Q3308793,1838.0,1838.0,,1838-11-28,Comedy,Comedy,,,fre001255,,False
2697,,rousseaujb-cafe,Le Café,Jean Baptiste Rousseau,Jean Baptiste Rousseau,,Q471026,1694.0,1694.0,,1694-08-02,Comedy,Comedy,,,fre001256,,False
2698,,rousseaujb-ceinture-magique,La Ceinture Magique,Jean Baptiste Rousseau,Jean Baptiste Rousseau,,Q471026,1701.0,1701.0,,,Comedy,Comedy,,,fre001257,,False
2699,,rousseaujb-jason,"Jason, ou La Toison d'or",Jean Baptiste Rousseau,Jean Baptiste Rousseau,,Q471026,1694.0,1694.0,,1696-01-06,,,,,fre001258,,False
