,dorneval-jugement-de-paris,quinault-cadmus-hermione,Cost,Operation Type
252,"('#paris', ""Mais voulez-vous sur l'apparence Que je prononce ma sentence ? Puisqu'il s'agit de vos attraits, Il faut, Mesdames les Déesses, Qu'à fond de ce fameux procès J'examine toutes les pièces. Air 15 : Je ne suis né ni Roi, ni Prince."")","('#cadmus', ""Allez : que dans ces murs chacun de vous s'empresse De rendre hommage à la princesse Qui doit donner ici des ordres absolus ; Vos premiers respects lui sont dûs, Je vous suivrai de près, c'est ma plus douce envie. Cherchons nos tiriens, ils tremblent pour ma vie.  Allons les rassurer, voyons de toutes parts. Les combattants obéissent à Cadmus qui demeure pour chercher et pour rassembler les tyriens. "")",0.5,Substitution
253,,"('#le-geant', ""Non, ce n'est point assez d'avoir satisfait Mars : Tu vois un ennemi qu'il faut encore abbattre, Au lieu de triompher recommence à combattre."")",1.0,Deletion
254,"('#venus', 'Le petit badin !')","('#cadmus', 'Combattons.')",1.15,Substitution
255,"('#junon', ""Charmant Berger, accepte l'abondance. Air 50 : J'ai fait souvent résonner ma musette."")",,1.0,Insertion
256,"('#venus', 'Je te promets des plaisirs à ton choix.')","('#le-geant', ""J'ai pitié du péril que tu cours : Il m'est honteux de vaincre avec tant d'avantage, Va, fuir, et cède moi l'objet de nos amours. Tu n'auras plus de Dieux qui défendent tes jours."")",1.26,Substitution
257,,"('#cadmus', ""Les dieux m'ont donné du courgae, Et c'est un assez grand secours."")",1.0,Deletion
258,,"('#le-geant', ""Voyons s'il n'est rien qui t'étonne."")",1.0,Deletion
259,"('#pallas', ""C'est moi, mon cher, qui donne la prudence, Et la valeur mère des grands exploits."")","('#le-geant', ""Qu'on vienne à moi, qu'on l'environne ! Qu'on le perce de tous côtés !"")",1.42,Substitution
260,,"('#pallas', 'Cadmus fermez les yeux. Perfides arrêtez. Pallas découvre son bouclier et le présente aux yeux des quatre géants, qui demeurent immobiles et deviennent dans un instant quatre statues de pierre.')",1.0,Deletion
261,"('#venus', 'Laisse-là les armes ; Les travaux guerriers, Pour de vains lauriers  Causent mille alarmes : Ce sont les Amours Qui font les beaux jours. Air 145 : Ce sont les Amours.')","('#pallas', 'Vois, Cadmus, vois quel supplice A puni leur injustice.')",0.67,Substitution
262,,"('#cadmus', 'Que vois-je ! Les géants armés Ne sont plus des corps animés.')",1.0,Deletion
263,"('#paris', ""Ne vantez point les combats, Je n'en tâterai pas. Air 99. D'une main je tiens mon pot."")","('#pallas', ""Je t'ai promis mon assistance, Je vais te préparer un superbe Palais : Je veux joindre aux douceurs d'un hymen plein d'attraits, L'éclat, et la magnificence. Goûte en paix un sort glorieux. Va, n'écoute plus rien que l'amour qui t'anime ; Hermione vient dans ces lieux."")",0.93,Substitution
264,"('#pallas', 'De la valeur je suis la source.')","('#cadmus', ""Par quel remerciement faut-il que je m'exprime ?"")",0.99,Substitution
265,"('#junon', ""Il n'est rien de bon que la bourse ; Et l'amant comme le héros N'est jamais en repos."")",,1.0,Insertion
266,"('#venus', 'Pâris, sois plus sage, Méprise son or ; Le plus grand trésor Offre un esclavage ; Ce sont les Amours Qui font les beaux jours. Air 145 : Ce sont les Amours.')","('#pallas', ""Protéger la vertu d'un prince magnanime, C'est le plus doux emploi des Dieux."")",0.47,Substitution
267,,"('#cadmus', 'Ma princesse !')",1.0,Deletion
268,"('#paris', 'Cela mérite réflexion.')","('#hermione', 'Cadmus !')",0.93,Substitution
269,,"('#cadmus', 'Quel bonheur !')",1.0,Deletion
270,,"('#hermione', 'Quelle gloire !')",1.0,Deletion
271,,"('#cadmus', 'Je vous vois libre enfin !')",1.0,Deletion
272,,"('#hermione', 'Je vous revois vainqueur ?')",1.0,Deletion
273,,"('#hermione', 'Quelle favorable victoire !')",1.0,Deletion
274,,"('#hermione', ""Qu'elle a coûté cher à mon coeur !"")",1.0,Deletion
275,,"('#cadmus', ""Que c'est un charmant avantage Que de pouvoir sauver d'un cruel esclavage La beauté dont on est charmé !"")",1.0,Deletion
276,,"('#hermione', ""Que c'est un sort digne d'envie Que de pouvoir tenir le bonheur de sa vie, De la main d'un vainqueur aimé !"")",1.0,Deletion
277,"('#junon', ""Tu ne choisis point les richesses ! Air 4 : Comme un Coucou que l'amour presse."")","('#hermione #cadmus', 'Après des rigueurs inhumaines, Le ciel favorise nos voeux ; Ah ! Que le souvenir des peines Est doux quand on devient heureux.')",1.05,Substitution
278,,"('#cadmus', ""Dieux ! Je ne vois plus Hermione ! Quel nuage épais l'environne ! Un nuage s'élève de la Terre qui enveloppe Hermione."")",1.0,Deletion
279,"('#pallas', 'La valeur ne te touche pas !')","('#junon', ""Tu vois l'effet de mon courroux, Il faut combattre encore Junon et sa puissance. Le soin que prend pour toi mon infidèle époux Attire sur tes feux l'éclat de ma vengeance. Iris, détruis l'espoir de cet audacieux ! Enlève sur ton arc Hermione à ses yeux. Exécute à l'instant ce que Junon t'ordonne."")",1.43,Substitution
280,,"('#hermione', 'Ô Ciel !')",1.0,Deletion
281,,"('#tous-ensemble', 'Ô Ciel, ô ciel ! Hermione, Hermione.')",1.0,Deletion
282,"('#paris', ""Je penche fort vers les espèces ; Mais l'Amour a bien des appas."")","('#cadmus', ""Belle Hermione, hélas, puis-je être heureux sans vous ? Que sert dans ce palais la pompe qu'on prépare ? Tout espoir est perdu pour nous ? Le bonheur d'un amour si fidèle, et si rare, Jusques entre les Dieux a trouvé des jaloux. Belle Hermione, hélas, puis-je être heureux sans vous ? Nous nous étions flattés que notre sort barbare Avait épuisé son courroux : Quelle rigueur quand on sépare Deux coeurs prêts d'être unis par des Liens si doux ? Belle Hermione, hélas, puis-je être heureux sans vous."")",1.0,Substitution
283,"('#pallas', ""Je te donne le bras d'Ulysse. Air I. Réveillez-vous, belle Endormie."")","('#pallas', ""Tes voeux vont être satisfaits ; Jupiter et Junon ont fini leur querelle, L'Amour lui-même a fait leur paix ; Ton Hermione enfin descend dans ce palais, Des Dieux s'avancent avec elle ; Le Ciel veut que ce jour soit célébré à jamais."")",0.84,Substitution
284,"('#junon', 'Et moi, des biens et des honneurs.')","('#jupiter', ""Que ce qui suit les lois du Maître du tonnerre, Que les Cieux, et la Terre, S'accordent pour combler vos voeux. Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux."")",1.26,Substitution
285,"('#venus', ""Moi, la main d'une jeune actrice, Qui doit ruiner vingt seigneurs."")","('#tous-les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux.')",1.49,Substitution
286,,"('#l-hymen', ""L'Hymen veut vous offrir ses chaines les plus belles."")",1.0,Deletion
287,"('#paris', 'Oh, parbleu, attendez.  Je vais vous accorder toutes trois. Il tire son couteau.')","('#junon', 'Junon en veut former les noeuds.')",1.53,Substitution
288,"('#junon', 'Que veux-tu faire ?')",,1.0,Insertion
289,"('#paris', 'Partager la pomme entre vous !  Et pour mes trois pièces, vous me donnerez chacune un peu de votre marchandise.')","('#les-choeurs', 'Amants fidèles,  Vivez heureux.')",1.38,Substitution
290,"('#venus', 'Je veux tout ou rien.')",,1.0,Insertion
291,"('#paris', ""Au diable l'argent et les armes ; À vos promesses je me rends. Eh bien, elle est à vous, belle Vénus. Air 136. L'autre nuit j'aperçus en songe."")","('#venus', 'Vénus vous donnera des douceurs éternelles.')",1.1,Substitution
292,"('#junon', 'Tu décides sur les présents, Au lieu de juger sur nos charmes ?')","('#mars', ""J'écarterai de vous les fatales querelles, Et les ennemis dangereux."")",1.43,Substitution
293,"('#pallas', 'Est-ce là juger sainement ?')","('#les-choeurs', 'Amants fidèles,  Vivez heureux.')",1.67,Substitution
294,,"('#pallas', 'Attendez de Pallas mille faveurs nouvelles.')",1.0,Deletion
295,,"('#l-amour', ""L'amour conservera toujours de si beaux feux."")",1.0,Deletion
296,"('#paris', ""L'Opéra fait-il autrement ?"")","('#les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles,  Vivez heureux.')",1.68,Substitution
297,,"('#jupiter', 'Hymen, prend soin ici des Danses et des Jeux.')",1.0,Deletion
298,"('#pallas', ""Tu méprises la gloire ! Tu mourras dans l'histoire Comme un lâche soldat. Air 22 : Le fameux Diogène."")","('#les-choeurs', 'Amants fidèles,  Vivez heureux.')",1.75,Substitution
299,,"('#l-hymen', ""Venez, Dieu des festins, aimables Jeux, venez ; Comblez de vos douceurs ces époux fortunés Tandis que tout le ciel prépare Les dons qu'il leur a destinés, La terre y doit mêler ce qu'elle a de plus rare. Venez, Dieu des festins, aimables jeux, venez ; Comblez de vos douceurs ces époux fortunés. Comus, Dieu des festins, s'avance accompagné de ses suivantes ordinaires, six hamadryades sortent de la terre, avec des corbeilles pleines de fruits. Comus commence à danser seul, ses suivants dansent ensuite, et après que les Hamadryades ont été présenter leurs fruits aux deux époux, elle viennent danser avec les suivants de Comus : cependant Arbas et la nourrice ne peuvent retenir les transports de leur joie et viennent mêler leurs chants avec les danse."")",1.0,Deletion
300,"('#junon', ""Va. Je me donne au Diable, Tu seras, Misérable, Toujours gueux comme un rat, Junon et Pallas s'en vont."")","('#arbas #la-nourrice', ""Serons-nous dans le silence Quand on rit, et quand on danse : Les chagrins ont eu leur temps, Pour jamais le Ciel les chasse, Les plaisirs ont pris leur place ; Lorsque deux coeurs sont constants Tôt ou tard ils sont contents. Qu'il est doux quand on soupire, De sortir d'un long martyre : Les chagrins ont eu leur temps,  Pour jamais le Ciel les chasse, Les plaisirs ont pris leur place ;  Lorsque deux coeurs sont constants  Tôt ou tard ils sont contents. Des Amours font descendre du Ciel sous un espèce de petit pavillon, les présents des Dieux, attachés à des chaînes galantes. Les hamadriades et les suivants de Comus les portent aux deux époux, et forment une danse, où Charite mêle une chanson."")",0.96,Substitution
301,"('#paris', ""Je pourrais bien être un sot homme, D'avoir ainsi livré la pomme. Junon m'annonce un sort fatal : Vous l'avez entendu, Madame. Air 15 : Je ne suis né ni Roi, ni Prince."")","('#charite', ""Amants, aimez vos chaînes, Vos soins et vos soupirs ; L'Amour suivant vos peines, Mesure vos plaisirs. Il cause des alarmes, Il vend bien cher ses charmes ; Mais pour un si grand bien Tous les maux ne sont rien. Sans une aimable flamme La vie est sans appas ; Qui peut toucher une âme Qu'Amour ne touche pas ? Il cause des alarmes, Il vend bien cher ses charmes ; Mais pour un si grand bien Tous les maux ne sont rien. Tous les Dieux du Ciel et de la Terre recommencent à chanter : les hamadriades et les suivants de Bacchus continuent à danser ; et ce mélange de chants et de danses forme une réjouissance générale, qui achève la fête des noces de Cadmus et Hermione."")",1.0,Substitution
302,"('#venus', ""Bon. Peux-tu craindre l'hôpital ? Je te donne une belle femme. Vénus emmène Pâris, et le fait entrer avec elle dans sa conque."")",,1.0,Insertion
303,"('#paris', ""Et vogue la galère, Tant qu'elle, tant qu'elle, Et vogue la galère, Tant qu'elle pourra voguer. Refrain de l'Air 98 : Et vogue la galère."")","('#tous-les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux.')",1.73,Substitution
