,biancollelli-arlequin-gentilhomme,biancollelli-foire-galante,Cost,Operation Type
249,"('#mezzetin', ""La peste qu'elle est fine  Bien fol ferait celui qui voudrait s'y fier  Elle a l'odorat bon pour flairer le gibier,  Que je lui donnerais volontiers son décompte. "")",,1.0,Insertion
250,"('#octave', 'De grâce, enseignez-moi la maison de Géronte. ')",,1.0,Insertion
251,"('#colombine', 'La voici. ')",,1.0,Insertion
252,"('#octave', ""C'est assez j'y vais dans le moment. "")",,1.0,Insertion
253,"('#colombine', 'Si je puis vous servir commandez librement. ')",,1.0,Insertion
254,"('#mezzetin', 'Adieu belle traîteuse, hôtesse de mon âme. ')",,1.0,Insertion
255,"('#colombine', 'Adieu le gros joufflu. ')",,1.0,Insertion
256,"('#mezzetin', 'Votre valet Madame.  Colombine rentre chez elle.')",,1.0,Insertion
257,"('#octave', 'Frappe à cette maison. ')",,1.0,Insertion
258,"('#mezzetin', ""Vous êtes dans l'erreur,  Que n'allez-vous plutôt chez M. le Docteur ? "")",,1.0,Insertion
259,"('#octave', 'Non je veux avant tout chez Géronte me rendre,  [Pour] le voir de la part du père de Léandre. ')",,1.0,Insertion
260,"('#mezzetin', ""J'obéis. "")",,1.0,Insertion
261,"('#geronte', 'Que veut-on ? ')",,1.0,Insertion
262,"('#mezzetin', 'Le patron du logis  Est-il ici, Monsieur ? ')",,1.0,Insertion
263,"('#geronte', ""Oui sans doute j'y suis. "")",,1.0,Insertion
264,"('#mezzetin', ""Excusez je n'ai pas l'honneur de vous connaître  Vous êtes en ce lieu demandé par mon maître. "")",,1.0,Insertion
265,"('#octave', ""Avant que de partir pour me rendre à Lyon,  Un de vos bons amis que l'on nomme Damon,  Dont le fils, m'a-t-il dit, doit être votre gendre,  En arrivant ici m'a chargé de vous rendre  Cette lettre. "")",,1.0,Insertion
266,"('#geronte', ""Parbleu vous me faites honneur,  Et je serais content si j'avais le bonheur  De vous faire plaisir, je parle avec franchise,  Mais Monsieur, s'il vous plaît, permettez que je lise.  Vous venez épouser la fille du Docteur,  Il m'a pour cet hymen témoigné tant d'ardeur,  Que vous avez grand tort de l'avoir fait attendre.  Il lit la lettre après quoi il dit."")",,1.0,Insertion
267,"('#octave', 'Je dois aussi remettre une lettre à Léandre  Je ne le connais point. ')",,1.0,Insertion
268,"('#geronte', 'Entrez dans ma maison. ')",,1.0,Insertion
269,"('#octave', ""Je crains d'être incommode. "")",,1.0,Insertion
270,"('#geronte', 'Ah Monsieur sans façon. ')",,1.0,Insertion
271,"('#mezzetin', 'Ce vieillard est civil. ')",,1.0,Insertion
272,"('#geronte', 'Entrez donc, je vous prie,  Et vous aussi, mon cher.  À Mezzetin.')",,1.0,Insertion
273,"('#mezzetin', 'Ah ! ')",,1.0,Insertion
274,"('#geronte', 'Sans cérémonie. ')",,1.0,Insertion
275,"('#le-docteur', ""Je ne puis revenir de mon étonnement :  Ciel ! Est-il pour un père un plus affreux tourment ?  Ma fille a déserté la maison paternelle  Tu formes le dessein, malheureuse Isabelle,  D'abandonner ainsi ton père, ton époux,  Sans craindre les effets de mon fuste courroux,  Ah ! Dans le désespoir qui pénètre mon âme,  Si le sort à mes yeux présentait cette infâme  Elle ressentirait ma fatale fureur,  Et je la livrerais à toute ma rigueur. "")","('#marinette', ""Quel funeste coup pour ma tête ! Quoi ! tu m'arraches les cheveux. Et pour marque de ta conquête, Ma coiffure en tes mains, rend ton sort glorieux. Tu m'as frappé, ah ! j'en prendrai vengeance, Et j'irai te dévisager. Infâme, tu m'as fais une sensible offense, Mais ne crois pas que je sois sans défense, De cent coups de bâtons, je prétends te charger. Quelle honte pour moi, qu'une femme fluette ! Un petit embryon me soumette à ses coups. Reprenons nos fureurs, courage, Marinette, Et sans différer, vengeons-nous. Ma face égratignée, et tout contrefaite, Doit contre une salope allumer mon courroux. Oui, quand j'aurai puni cette mazette, Un triomphe si grand me paraîtra bien doux. Et pour voir aujourd'hui ma vengeance complète, Je veux que la carogne en présence de tous, Me rende enfin à mes genoux Ma coiffure de mignonette. Air : Quel funeste coup pour mon âme, Elle s'en va."")",0.0,Match
276,"('#geronte', ""Je reviendrai bientôt vous n'avez qu'à m'attendre.  Docteur ai-je bien reçu le beau Léandre,  Ma foi s'il ne se met bientôt à la raison,  Il risque de rester quelque temps en prison.  Mais qu'avez-vous ?  En voyant le Docteur."")",,1.0,Insertion
277,"('#le-docteur', ""Hélas je suis inconsolable,  Ma fille m'a quitté. "")",,1.0,Insertion
278,"('#geronte', 'Ce serait bien le diable. ')",,1.0,Insertion
279,"('#le-docteur', 'Je ne la trouve plus et sans doute elle est loin. ')",,1.0,Insertion
280,"('#geronte', ""D'un pareil contretemps, vous n'aviez pas besoin,  Car Octave est chez moi. "")",,1.0,Insertion
281,"('#le-docteur', ""Que dites-vous Géronte,  Cessez de m'imposer... "")",,1.0,Insertion
282,"('#geronte', ""Non ce n'est pas un conte.  Et mon ami Damon me l'a recommandé,  De ce que je vous dis soyez persuadé. "")",,1.0,Insertion
283,"('#le-docteur', 'Tâchez de découvrir où peut être Isabelle,  Et ne divulguez point cette triste nouvelle. ')",,1.0,Insertion
284,"('#geronte', 'Croyez-moi, mon ami loin de vous alarmer,  En différents quartiers allez vous informer. ')",,1.0,Insertion
285,"('#le-docteur', ""Je ne veux épargner ni l'argent ni la peine,  Je vais tout de ce pas droit à la quarantaine,  Sous les Tillots, au Change, aux Cafés, aux Terreaux,  Dans la Traille, aux Faubourgs, à S[aint] Clair, aux Breteaux,  En un mot dans ces lieux si charmants à la vue,  Où l'on trouve toujours quelque fille perdue.  Il s'en va."")",,1.0,Insertion
286,"('#geronte', ""Octave pourrait bien en écrire à Damon,  S'il savait que Léandre est dans une prison,  Pour éviter la chose il est de ma prudence,  De l'en faire sortir en toute diligence,  Je vais donner cet ordre à Monsieur le Geôlier...  Holà. "")",,1.0,Insertion
287,"('#le-geolier', ""Je suis bien las d'avoir ce prisonnier,  Il veut toujours manger, le plaisant personnage  Il faut à tout moment lui donner du fromage,  Je vous rends son épée. "")","('#arlequin', ""Hélas ! Arlequin n'en peut plus. L'Amour m'a donné la colique, Je suis devenu comme étique, Je sens tous mes membres perclus. Hélas ! etc."")",1.13,Substitution
288,"('#geronte', ""Ah ! Je la reconnais,  C'est celle dont pour lui j'ai moi-même fait choix,  Et qu'ensuite j'eus soin d'envoyer à son père  Vous serez satisfait et j'en fais mon affaire,  Vous pouvez l'élargir et le conduire ici,  Je veux examiner..."")",,1.0,Insertion
289,"('#arlequin', ""Que veut dire ceci ?  Où voulez-vous que j'aille ? "")",,1.0,Insertion
290,"('#geronte', ""Approchez-vous mon gendre,  Gardez par le docteur de vous laisser surprendre,  Je vous rends votre épée et j'ose me flatter,  Que d'un esprit plus doux vous voudrez m'écouter,  Je vous ai destiné ma fille en mariage. "")","('#colombine', 'Mon cher Arlequin, ton humeur chagrine Trouble le destin de ta Colombine. Morguienne de toi, quel homme ! quel homme ! Calme ton effroi, tu seras à moi. Air : Morguienne de vous')",0.67,Substitution
291,"('#arlequin', ""Je suis trop jeune encore pour me mettre en ménage,  J'en mourrais etc.  Il chante."")",,1.0,Insertion
292,"('#geronte', 'Terminez de semblables discours,  Sans rimer et sans raison vous plaisantez toujours,  Je prétends dès ce soir terminer cette affaire. ')",,1.0,Insertion
293,"('#arlequin', ""Puisque enfin vous croyez la chose nécessaire,  Je vous obligerai du meilleur de mon coeur,  J'épouserai d'abord la fille du Docteur,  La vôtre ensuite, vous, et toute la famille,  S'il le faut. "")","('#arlequin', 'Hélas ! je ne puis concevoir, Sur quoi tu fondes cet espoir. Le Docteur me sera contraire, Je ne pourrai jamais lui plaire. Il ne faut pour nous rendre heureux, Prendre conseil que de nous deux.')",0.72,Substitution
294,"('#geronte', 'Il suffit seulement de ma fille,  Votre père Damon homme de probité,  A pour ce mariage avec moi contracté. ')",,1.0,Insertion
295,"('#arlequin', ""Mon père dites-vous, hélas il s'est fait pendre,  Il fut, quoique honnête homme un peu sujet à prendre,  C'est-à-dire à voler, c'était son seul défaut,  La Justice en public lui fit faire le saut,  Qu'il mourut noblement. "")",,1.0,Insertion
296,"('#geronte', ""Toujours l'humeur bouffonne,  Vous vous divertissez et je vous le pardonne. "")",,1.0,Insertion
297,"('#arlequin', ""Votre fille, à propos, n'a-t-elle point servi ? "")",,1.0,Insertion
298,"('#geronte', 'Non sans doute elle est sage. ')",,1.0,Insertion
299,"('#arlequin', ""Hé bien, j'en suis ravi,  Je craignais de subir le destin de mon père  Il n'y prit pas trop garde en épousant ma mère  Puisque trois mois après elle accoucha de moi,  Gardez de me tromper je suis de bonne foi. "")","('#colombine', ""Pour mieux parler de notre flamme, Entre avec moi dans le logis, Je crois que t'habillant en femme, Tu ne seras jamais surpris. Air : Réveillez-vous, [belle endormie]"")",1.19,Substitution
300,"('#geronte', ""Que vous êtes badin, c'est votre caractère,  Et vous aimez à rire ainsi que votre père,  Mais n'aspirez point à vous entretenir  Avec ma fille. "")","('#arlequin', ""Je n'aurai pas trop bonne mine En équipage féminin. Allons... souviens-toi, Colombine, Que je suis toujours masculin."")",1.0,Substitution
301,"('#arlequin', ""Oui da la belle peut venir.  Parbleu cette aventure est tout à fait comique,  Je suis un crocheteur de nouvelle fabrique,  Et jamais on n'en vit de si nobles que moi.  Géronte entre."")","('#scaramouche', 'Docteur, qui chaque nuit fait ici sentinelle, Ne verse point sur moi ton grand pot à pisser, Ne verse, etc.')",0.99,Substitution
302,"('#geronte', 'Léonore venez.  Léonore en voyant Arlequin jette un cri, Arlequin tombe à la renverse tout épouvanté.')",,1.0,Insertion
303,"('#leonore', ""Ciel qu'est-ce que je vois !  Ah le vilain magot ! "")",,1.0,Insertion
304,"('#arlequin', ""Savez-vous bien ma femme,  Que je vous frotterai sans craindre qu'on me blâme,  Cela vous convient-il, je ne suis point trompeur,  J'ai fait caca sous moi, pourquoi me faire peur  J'ai blêmi, j'en suis sûr "")","('#arlequin', ""Scaramouche, retirez-vous, Car vous avez bien des jaloux. Croyez en Marinette, Hé bien ! Je crains qu'on ne vous traite, Vous [m'entendez bien]. Air : Vous m'entendez bien"")",0.44,Substitution
305,"('#leonore', ""Quoi c'est là votre gendre ?  Mon mari prétendu. "")",,1.0,Insertion
306,"('#geronte', ""C'est le Seigneur Léandre. "")",,1.0,Insertion
307,"('#leonore', ""Hélas ! Pourquoi faut-il qu'un destin rigoureux  Ait réservé ma main à cet époux hideux,  Octave mieux que lui serait sûr de me plaire. "")","('#arlequin', 'Trop heureux, trop heureux, si pour vous, ma belle, Je me pouvais faire rôtir.bis')",1.23,Substitution
308,"('#arlequin', ""Venons au fait, ma fille et concluons l'affaire. "")",,1.0,Insertion
309,"('#geronte', 'Honorez-la du moins de quelque compliment. ')",,1.0,Insertion
310,"('#arlequin', ""Taupe, quand je m'y mets je parle élégamment,  Et dans ce que je dis je fus toujours sincère.  Madame, tout ainsi que le bourreau sévère  Attache un patient au funeste gibet,  Et pour le dépêcher lui sert le sifflet,  De même aussi la belle... au gibet de vos charmes,  Vous m'avez attaché... car enfin mes alarmes...  Le soleil... de vos yeux... votre nez... votre main...  Allons-nous-en souper, beau-père, car j'ai faim.  À Léonore."")","('#arlequin', ""Je prétends répondre à mon tour Aux sentiments de votre amour. Parlez à Marinette, Hé bien ! Avec cette trompette, Vous m'entendez [bien]. J'ai fait faire cet instrument, Pour nous parler plus sûrement. Approchez votre oreille, Fort bien, Vous êtes à merveille, Vous m'entendez [bien]. J'ai pour vous une telle ardeur, Que je sens grésiller mon coeur. Je verse pour vos charmes, Hé bien ! Un déluge de larmes, Vous m'entendez [bien]. Air : Vous m'entendez bien Même air. Même air. Il lui jette le pot de chambre."")",0.19,Substitution
311,"('#leonore', ""Je souffre en le voyant on ne peut davantage,  Juste ciel qu'il est laid ! Le vilain personnage ! "")",,1.0,Insertion
312,"('#geronte', ""Vous mangerez tantôt il n'est pas encore temps. "")",,1.0,Insertion
313,"('#arlequin', ""Je suis content, joyeux quand j'exerce mes dents. "")",,1.0,Insertion
314,"('#geronte', 'Vous allez recevoir une lettre bien chère  De la part de Damon. ')",,1.0,Insertion
315,"('#arlequin', 'Qui Damon ? ')",,1.0,Insertion
316,"('#geronte', 'Votre père. ')",,1.0,Insertion
317,"('#leonore', 'Mon père, comment donc serait-il revenu ?  Après avoir été publiquement pendu. ')",,1.0,Insertion
318,"('#geronte', 'Octave depuis peu rendu dans cette ville,  Doit vous en remettre une. ')",,1.0,Insertion
319,"('#leonore', ""Ah ! Qu'il est imbécile,  Et moi j'épouserai cet objet odieux... "")","('#scaramouche', ""Je suis mouillé, l'on punit ma sottise. L'eau dégoute partout, que maudit soit le pot. Il faut pour sécher ma chemise Que j'aille brûler un fagot. Il faut, etc."")",0.71,Substitution
320,"('#geronte', 'Le voici justement qui paraît à vos yeux. ')",,1.0,Insertion
321,"('#octave', 'Est-ce là le Seigneur Léandre ? ')",,1.0,Insertion
322,"('#geronte', ""C'est lui-même. "")",,1.0,Insertion
323,"('#octave', ""Enfin je vous rencontre et ma joie est extrême,  Permettez s'il vous plaît que cet embrassement  Vous témoigne mon zèle et mon empressement,  Votre père Damon m'a chargé de vous rendre  Cette lettre. "")","('#arlequin', ""Que d'ustensiles différents, Pour attirer les soupirants. Toujours par la toilette, Hé bien ! Triomphe une coquette, Vous m'entendez [bien]. Il se mire. Ma foi, je suis un beau garçon, J'ai le nez tout à fait mignon, Ma figure est gentille, Hé bien ! Si j'étais une fille, Vous m'entendez bien. Je veux me poudrer, me rougir, Me vermillonner, me blanchir. Et pour fuir les alarmes, Hé bien ! Mettre à profit mes charmes, Vous [m'entendez bien]. Puisque j'ai l'air si féminin, Je veux par un discours badin, Contrefaire le style, Hé bien ! D'une coquette babille, Vous m'entendez [bien]. Puis aussi sur un ton nouveau, Feindre la voix d'un damoiseau, Qui prétend faire emplette, Hé bien ! Du coeur d'une coquette, Vous [m'entendez bien]. Madame, à vos appas, Je viens pour rendre hommage. Heureux si sans partage, Je puis entre vos bras, Ne m'entendez-vous pas. Il répond pour la femme. Je le connais trop bien, Vous cherchez à me plaire, Vous êtes téméraire, Et vous ne valez rien, Je le connais trop bien. L'homme. Ah ! faites plus de cas D'une si belle flamme. Je vous aime, Madame, Et voudrais bien, hélas ! Ne m'entendez-vous pas ? La femme. Vous êtes trop pressant, Ma vertu s'effarouche. Soyez moins violent, Vous êtes trop pressant. L'homme. Ah ! l'aimable museau, Et que ta gorge est belle. Je veux, ma tourterelle, Être ton tourtereau. Ah ! l'aimable museau. Il baise sa main. La femme. Fi donc, petit badin, Qu'osez-vous entreprendre ? Vous êtes trop malin. Fi donc, petit badin, L'homme. Rien ne peut m'arrêter, Dans ma vive tendresse. La femme. Je suis une Lucrèce, Pourquoi me tourmenter ? Vous voulez m'affronter. L'homme. Cupidon m'a vaincu, Mon aimable Silvie. La femme. Finissez, je vous prie, Respectez ma vertu, Ou vous serez battu. L'homme. Tous vos efforts sont vains, Charmante impératrice. La femme. Ah ! Monsieur le Jocrisse, Quittez de tels desseins, Ne jouez plus des mains. Arlequin s'assied et s'adresse à une chaise qui est devant lui et chante sur l'air Ne m'entendez-vous pas."")",0.89,Substitution
324,"('#arlequin', ""Monsieur je n'y puis rien comprendre,  Car je ne sais pas lire en tout cas je l'apprends,  Elle me servira dans mes besoins pressants. "")",,1.0,Insertion
325,"('#octave', ""Votre gendre Monsieur, dit qu'il ne sait pas lire. "")",,1.0,Insertion
326,"('#geronte', ""Ne voyez-vous pas bien qu'il ne se plaît qu'à rire.  Je vous laisse mon gendre et je rentre au logis.  À Arlequin."")","('#le-docteur', ""Que faites vous ici, Madame la carogne ? Reconnaissant Arlequin. Quoi ! c'est vous, chien d'ivrogne Qui babillez ainsi ? Sortez vite d'ici. Il le chasse."")",0.48,Substitution
327,"('#arlequin', 'Si vous allez manger, beau-père, je vous suis. ')",,1.0,Insertion
328,"('#geronte', ""Il n'est pas encore temps. "")",,1.0,Insertion
329,"('#arlequin', ""Qu'est-ce à dire beau-père,  N'est-il pas toujours temps de faire bonne chère,  Pour moi j'aime à manger du matin jusqu'au soir,  À la table toujours je fis bien mon devoir. "")",,1.0,Insertion
330,"('#geronte', 'Quand on aura servi on viendra vous le dire. ')",,1.0,Insertion
331,"('#leonore', 'Entrez aussi Monsieur. ')",,1.0,Insertion
332,"('#arlequin', ""Je ne fais que vous nuire  Si je restais ici je pourrais vous troubler,  Peut-être tous les deux vous avez à parler,  Des époux de nos jours j'aime à suivre la mode  Et je me pique d'être un mari commode. "")","('#le-docteur', ""D'une jeune beauté, la garde est difficile, Mes soins seront-ils superflus ? Je ne m'étonne point si l'on voit des cocus, Au manège d'amour la femme est trop habile. Air : La nuit ramène en vain, parodie."")",0.31,Substitution
333,"('#leonore', ""Vous me ferez plaisir si vous sortez d'ici,  Car ce certain secret il doit être éclairci,  Et je veux lui parler d'une affaire importante. "")",,1.0,Insertion
334,"('#arlequin', ""S'il ne faut que cela pour vous rendre contente,  Pour ne point vous gêner je consens à partir.  Mais quand vous aurez fait songez à m'avertir,  Je vais en attendant visiter la cuisine. "")","('#le-docteur', ""C'est à vous de servir mon âme vigilante, Je vous ai destiné mon aimable servante. Contre tous vos rivaux, je prétends vous armer, À grands coups de tricot, il faut les abimer."")",0.73,Substitution
335,"('#octave', ""Quoi, Madame, c'est là l'époux qu'on vous destine,  Il sera possesseur de vos divins appas.  Il va jouir d'un bien qu'il ne mérite pas,  Son extrême bonheur excite mon envie. "")",,1.0,Insertion
336,"('#leonore', ""Il ne verrait jamais son attente remplie,  S'il consultait mon coeur pour s'unir à mon sort,  Plutôt qu'y consentir je choisirais la mort,  Mais du destin cruel telle est la violence,  Que je dois mes malheurs à mon obéissance. "")","('#scaramouche', ""Je suis prêt à faire rage, Je punirai qui m'outrage. Ah ! quel horrible carnage, Et que de sang répandu. J'ai perdu la connaissance. Tout excite ma vengeance, Évitez donc ma puissance, Ou bien vous serez battu. Air : Trembleurs Il les chasse."")",0.53,Substitution
337,"('#octave', ""Ah ne permettez pas que cet indigne époux,  S'assure d'un bonheur si charmant et si doux,  À la plus vive ardeur donnez la préférence  Et bien loin d'approuver un choix qui vous offense,  Arrachez votre main à ce monstre odieux,  Sur un plus tendre amant daignez jeter les yeux  Me faisant occuper une si belle place  À ma flamme parfaite accordez cette grâce. "")","('#arlequin', ""Ne verrai-je jamais le jour Qui doit couronner mon amour ? Vous brûlez d'une faible flamme, Ah ! c'est trop offenser mes feux. Hélas ! je voudrais bien, Madame, Nous voir accoupler tous les deux. Air : Voulez-vous savoir qui des deux"")",0.04,Substitution
338,"('#leonore', ""Quoi Monsieur, vous osez formez un tel espoir,  Croyez-vous que je puisse oublier mon devoir,  Je conçois les malheurs où cet hymen m'expose  Mais enfin de mon sort mon père seul dispose,  Vous avez autre part engagé votre coeur  Il ne doit pas brûler d'une nouvelle ardeur. "")","('#colombine', ""De quels reproches encor venez-vous m'alarmer ? Votre amour, quelque temps, ne peut-il se contraindre ? Que sert, ingrat, de vous aimer ? De vous, hélas ! j'ai tout à craindre. Air opéra."")",0.0,Match
339,"('#octave', ""Ah ! Mon âme pour lors n'était pas prévenue,  Vos appas n'avaient pas encore frappé ma vue,  Les crimes de l'amour s'excusent aisément,  Et je dois m'applaudir d'un si beau changement. "")","('#arlequin', ""Je ne me plaindrais pas, Mais en vain je vous aime. Si vous m'aimiez de même, Ma Colombine, hélas ! Je ne me plaindrais pas. Air : Ne m'entendez-vous pas."")",0.5,Substitution
340,"('#arlequin', ""Vous n'avez pas fini, c'est trop me faire attendre. "")",,1.0,Insertion
341,"('#octave', ""Vous venez à propos j'oubliais de vous rendre  Cinquante louis neufs que m'a donnés Damon,  Pour vous remettre en main. "")",,1.0,Insertion
342,"('#arlequin', ""Il est bon sur ce ton,  Je reçois volontiers cette bourse garnie,  Autant qu'il vous plaira tenez-lui compagnie,  Et poussez votre pointe, adieu le beau garçon,  Je suis, vous le voyez, un mari sans façon.  Il rentre."")","('#colombine', 'Vous plaignez-vous, ingrat, De ma flamme parfaite. Vous aimez, Marinette, Perfide scélérat. Mais... à bon chat, bon rat.')",0.81,Substitution
343,"('#octave', 'Je ne vis de mes jours un époux plus affable. ')",,1.0,Insertion
344,"('#leonore', ""Ah ! Ne m'en parlez point je le trouve effroyable. "")",,1.0,Insertion
345,"('#octave', ""Hé bien d'aucun espoir ne flattez-vous mes feux  Et ne puis-je m'attendre à devenir heureux ? "")",,1.0,Insertion
346,"('#leonore', ""Je me plais à vous voir, en secret je soupire,  Que voulez-vous de plus c'est assez vous en dire. "")","('#arlequin', ""C'est le sujet de mes alarmes, Vous reconnaissez mal ma foi. Je renonce à tout pour vos charmes, Et vous ne faites rien pour moi. Air : Réveillez[-vous] belle endormie"")",0.57,Substitution
347,"('#octave', 'Ah ! Ce bonheur extrême égale mon amour. ')",,1.0,Insertion
348,"('#leonore', ""Mon père dans ce lieu peut presser son retour,  Cher Octave avec vous je crains d'être surprise. "")",,1.0,Insertion
349,"('#octave', ""Non ne redoutez rien l'amour nous favorise,  C'est lui qui dans mon coeur vient d'allumer ses feux. "")",,1.0,Insertion
350,"('#leonore', 'Entrons. ')",,1.0,Insertion
351,"('#octave', 'Vous obéir est tout ce que je veux. ')",,1.0,Insertion
352,"('#le-docteur', ""J'ai tant couru qu'enfin j'ai su quelque nouvelle,  On m'a nommé le lieu qui renferme Isabelle,  C'est dans ce cabaret qu'elle a porté ses pas,  À ce funeste coup je ne m'attendais pas,  Qui m'eût dit que ma fille à la fleur de son âge,  Aurait eu du penchant pour le libertinage ?  Mais j'aperçois Géronte, il vient fort à propos. "")","('#arlequin', ""Raccommodons-nous toujours, C'est le plaisir des amours. À la foire, c'est la mode, On se brouille, on s'accommode, Lampons, lampons, Colombine, lampons. Tu ne danses pas trop mal, Allons-nous-en donc au bal, Chez la jeune cafetière, Chacun danse à sa manière. Lampons, lampons, Colombine, lampons. On y danse des menuets, Toutes sortes de ballets. Souvent ce qui plus tourmente On y danse la courante. Lampons, lampons, Colombine, lampons. Air : Lampons."")",0.71,Substitution
353,"('#le-docteur', ""Maintenant, cher ami, j'ai l'esprit en repos  Isabelle est cachée en cette hôtellerie,  Ne partez point d'ici Géronte, je vous prie,  Car je veux devant vous lui faire la leçon,  Et la traiter ici de la bonne façon.  Il entre dans le cabaret de Colombine."")",,1.0,Insertion
354,"('#geronte', ""Hélas ! Pauvre Docteur, ton sort est déplorable,  Le ciel m'a regardé d'un oeil plus favorable,  En donnant à ma fille un esprit mûr, rassis,  Elle n'écoute point les amoureux transis,  Qui bornent tous leurs voeux à tromper une belle,  Léonore n'est point de l'humeur d'Isabelle,  Elle sait s'écarter d'un chemin trop battu,  Et pratiquer les lois de l'austère vertu. "")",,1.0,Insertion
355,"('#le-docteur', 'Je vous retrouve enfin fille trop criminelle,  Qui désertez ainsi la maison paternelle  Vous avez par la suite animé mon courroux,  Et mon ressentiment doit éclater sur vous. ')",,1.0,Insertion
356,"('#isabelle', 'Ah ! De grâce calmez cette affreuse colère,  Et ressouvenez-vous que vous êtes mon père. ')",,1.0,Insertion
357,"('#le-docteur', 'Contre ton procédé qui ne se récrierait,  Pendarde, quoi déjà tu cours le cabaret. ')","('#le-choeur', ""Marchands forains, rassemblons-nous, Ça, que l'on danse, que l'on chante. Quel séjour peut être plus doux ? Bannissons les soupçons jaloux. À la foire galante L'amour nous trompe tous. On danse l'air des masques, ensuite on chante Ah ! d'un curé. Après on danse encore l'air des masques."")",0.71,Substitution
358,"('#geronte', ""Docteur votre colère est juste et légitime,  Mais enfin croyez-moi pardonnez lui fort son crime  Que servent les éclats, il vaut mieux filer doux  Il faut la présenter vous-même à son époux,  Le plutôt est le mieux et dans cette journée  Effacez cet affront par un prompt hyménée,  On ne peut pas savoir tout ce qui s'est passé  Et vous ferez fort bien de paraître empressé. "")","('#pierrot', ""À la danse Je viens en masque Pour n'être pas reconnu, A c i o u. À ma taille délibérée, Me prendrait-on pour Pierrot O o o diu hurhaut. On danse un menuet."")",0.94,Substitution
359,"('#le-docteur', 'Mais Léandre... ')",,1.0,Insertion
360,"('#geronte', ""Comment vous y pensez encore,  Il a donné déjà la main à Léonore,  Ainsi n'attendez pas qu'il change de dessein,  Si vous vous en flatter votre espoir sera vain,  Je vais si vous voulez, appeler votre gendre. "")",,1.0,Insertion
361,"('#le-docteur', 'Hé bien soit.  Géronte entre.')",,1.0,Insertion
362,"('#isabelle', ""Juste ciel ! Qu'est devenu Léandre ? Il a pour m'obtenir bien peu d'empressement,  Et je dois mon malheur à son retardement. "")",,1.0,Insertion
363,"('#geronte', 'Voici votre beau-père avec la prétendue. ')",,1.0,Insertion
364,"('#octave', ""Quel objet en ce lieu se présente à ma vue ?  Le Docteur veut me faire un joli présent,  Il me prend pour un autre et le tour est plaisant,  Colombine tantôt m'a parlé de la belle,  Feignons... Quoi c'est donc là la charmante Isabelle ? "")","('#pierrot', ""Entrons au bal, Et sans cérémonie Accostons-y Quelque jeune beauté. Faisons lui voir Que quoique l'on en dise, Pierrot est un vivant Qui fait, qui fait Chiffonner bien un falbala. Air : La Guinguette Pierrot va caresser Colombine."")",0.47,Substitution
365,"('#geronte', 'Oui, Monsieur, et voilà mon ami le Docteur. ')",,1.0,Insertion
366,"('#le-docteur', 'Ma fille avec raison peut vanter son bonheur,  Puisque je lui destine un homme de mérite. ')",,1.0,Insertion
367,"('#geronte', 'Madame permettez que je vous félicite. ')",,1.0,Insertion
368,"('#octave', ""Madame permettez, qu'en qualité d'amant,  Je vous témoigne ici mon tendre empressement,  Ce n'est point comme époux que je prétends paraître,  Mon ardeur sous ce nom le ferait mal connaître,  Et je dois autrement me présenter à vous. "")",,1.0,Insertion
369,"('#le-docteur', ""C'est-à-dire, qu'il veut être amant quoique époux. "")",,1.0,Insertion
370,"('#isabelle', ""Imiter votre exemple est ce que je désire,  Et je ne craindrai point à mon tour de vous dire  Que le titre d'épouse a pour moi peu d'appas,  Qu'en cette occasion il ne me touche pas,  Que tout autre pour moi serait bien plus aimable. "")",,1.0,Insertion
371,"('#geronte', ""C'est assez mes enfants allons-nous mettre à table,  Entrons dans le logis. "")",,1.0,Insertion
372,"('#isabelle', 'Ciel qui connaît mes feux,  Daigne, en parant ce coup, satisfaire à mes voeux. ')",,1.0,Insertion
373,"('#octave', 'Amour mon tendre coeur implore ta puissance,  Par un hymen plus doux couronne sa constance. ')",,1.0,Insertion
374,"('#leandre', ""Songeons à profiter d'un moment précieux,  Et sans plus différer abandonnons ces lieux,  Tout est prêt pour partir, fais venir Isabelle. "")",,1.0,Insertion
375,"('#scaramouche', ""En vérité, Monsieur, l'action n'est pas belle,  Vous hasardez beaucoup en cette occasion,  Et l'on me pendre moi par conversation. "")",,1.0,Insertion
376,"('#leandre', ""Finis donc si tu veux, frappe à l'hôtellerie. "")",,1.0,Insertion
377,"('#scaramouche', 'Ne vous emportez pas, mon mignon, je vous prie.  Holà ?  Il frappe.')","('#arlequin', ""Doucement, Monsieur l'animal, Voici votre rival, Vous chiffonnez son falbala Retirez-vous de là.bis Air : Tu n'as pas le pouvoir Il le frappe."")",0.89,Substitution
378,"('#pierrot', 'Que voulez-vous ? ')",,1.0,Insertion
379,"('#scaramouche', 'Appelez promptement  La Dame en question. ')",,1.0,Insertion
380,"('#pierrot', ""Vous vous moquez vraiment,  Elle n'est plus chez nous. "")",,1.0,Insertion
381,"('#scaramouche', 'Comment que veux-tu dire ? ')",,1.0,Insertion
382,"('#pierrot', 'Elle est déjà bien loin. ')",,1.0,Insertion
383,"('#leandre', 'Prends-tu plaisir à rire ? ')",,1.0,Insertion
