,quinault-isis,quinault-thesee,Cost,Operation Type
215,"('#hierax #argus', 'Quelles danses ! quels chants et quelle nouveauté !')","('#aegle', 'Quel affreux courroux !')",1.62,Substitution
216,"('#syrinx #choeurs', ""S'il est quelque bien au monde C'est la liberté."")","('#aegle #cleone #arcas', 'Dieux ! Où sommes-nous !')",1.87,Substitution
217,"('#hierax #argus', 'Que voulez-vous ?')","('#aegle', 'Me laissez-vous, cruelle, Dans cette horreur mortelle ? Ah cruelle ! Où me laissez-vous ?')",0.93,Substitution
218,"('#choeur-des-nymphes', 'Liberté, liberté.')",,1.0,Insertion
219,"('#hierax #argus', ""Que voulez-vous ? il faut qu'on nous réponde."")","('#aegle #cleone #arcas', 'Dieux ! Où sommes nous ?')",1.33,Substitution
220,,"('#cleone', ""Contre ce monstre qui m'alarme Viens me défendre Arcas."")",1.0,Deletion
221,"('#syrinx #choeurs', ""S'il est quelque bien au monde, C'est la liberté."")",,1.0,Insertion
222,"('#mercure #choeurs-de-nymphes #bergers #satyres #sylvains', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté. Liberté, liberté"")",,1.0,Insertion
223,"('#mercure', ""De la Nymphe Syrinx l'on chérit la mémoire, Il en regrette encor la perte chaque jour; Pour célébrer une fête à sa gloire Ce Dieu lui même assemble ici sa cour Il veut que du malheur de son fidèle amour. Un spectacle touchant représente l'histoire"")","('#arcas', ""Ne crains rien avant mon trépas. Ô ciel ! On me désarme ! Tu peux beaucoup ici, belle Dorine, hélas ! Ne l'abandonne pas. Un fantôme emporte l'épée d'Arcas."")",1.19,Substitution
224,"('#argus', ""C'est un plaisir pour nous; poursuivez j'y consens Je ne m'oppose point à ces jeux innocents. Argus va prendre place sur un siège de gazon proche de l'endroit où Io est enfermée et fait planer Hiérax de l'autre côté."")","('#cleone #arcas', ""Belle, Dorine, hélas ! Ne m'abandonne pas. Ne l'abandonne pas."")",1.49,Substitution
225,"('#mercure', ""Il donne dans le piège, achevez sans remise Achevez de surprendre Argus et tous ses yeux. Si vous tentez une grande entreprise, Mercure vous conduit, l'amour vous favorise Et vous servez le plus puissant des Dieux. Mercure, les berges, les satyres, et les sylvains rentrent derrière le théâtre."")","('#dorine', ""Il est bon d'être nécessaire ; C'est un charme puissant pour plaire Où peu de cours ont résisté : Un grand secours qu'on espère Est un grand trait de beauté."")",0.92,Substitution
226,,"('#arcas', ""Ce n'est pas d'aujourd'hui que je te trouve belle."")",1.0,Deletion
227,"('#syrinx', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté."")",,1.0,Insertion
228,"('#syrinx', ""L'empire de l'Amour n'est pas moins agité Que l'empire de l'onde Ne cherchons point d'autre félicité Qu'un doux loisir dans une paix profonde S'il est quelque bien au monde  C'est la liberté. Liberté, liberté ! Dans le temps qu'une partie des Nymphes chante, le reste de la troupe danse."")","('#cleone', ""Où pourrait-il voir plus d'attraits ?"")",1.78,Substitution
229,"('#deux-bergers', ""Quel bien devez-vous attendre Beautés qui chassez dans ces lieux Que pouvez-vous prendre Qui vaille un coeur tendre Soumis à vos lois ? Ce n'est qu'en aimant Qu'on trouve un sort charmant Aimez enfin à votre tour Il faut que tout cède à l'amour. Il sait frapper d'un coup certain Le cerf léger qui fuit en vain  Jusque dans les antres secrets Au fond des forêts  Tout doit sentir ses traits. Lorsque l'amour vous appelle, Pourquoi fuyez-vous ses plaisirs ? La Rose nouvelle N'en est que plus belle D'aimer les Zéphirs. Ce n'est qu'en aimant Qu'on trouve un sort charmant, Aimez enfin, à votre tour; Il faut que tout cède à l'amour : Il sait frapper d'un coup certain Le cerf léger qui fuit en vain : Jusques dans les antres secrets Au fonds des forêts, Tout doit sentir ses traits,"")","('#dorine', 'Je sais trop votre amour nouvelle.')",0.63,Substitution
230,"('#pan', 'Je vous aime Nymphe charmante; Un amant, un mortel cherche à plaire à vos yeux ')","('#cleone #arcas', ""Non, non, je le promets, Non, je ne l'aimerai jamais."")",0.87,Substitution
231,"('#syrinx', ""Pan est un Dieu puissant, je révère les Dieux; Mais le nom d'amour m'épouvante."")","('#dorine', 'Pour se tirer de peine Chacun promet assez ; Mais la promesse est vaine Lorsque les périls sont passés.')",1.03,Substitution
232,,"('#cleone #arcas', 'Ne doute point de ma promesse.')",1.0,Deletion
233,"('#pan', ""Pour vous faire retrouver le nom d'amant plus doux. J'y joindrai le titre d'époux. Je n'aurai pas de peine  A m'engager dans une aimable chaîne Pour ne jamais changer. Aimez un Dieu qui vous adore."")","('#dorine', ""Non, je ne prétends point regagner désormais D'un si volage amant la trompeuse tendresse ; Non, non, je le promets ; Non, je ne l'aimerai jamais."")",0.23,Substitution
234,"('#syrinx', ""Un époux doit être encore Plus à craindre qu'un amant"")","('#cleone #arcas #dorine', ""Non, non, je le promets, Non, je ne l'aimerai jamais."")",1.1,Substitution
235,"('#pan', ""Dissipez de vaines alarmes, Éprouvez l'amour et ses charmes Connaissez les plus doux appas. Non, ce ne peut être  que faute de la connaître Qu'il ne vous plaît pas."")","('#medee', ""Qu'on ne me trouble point, qu'on leur ouvre un passage. C'est sur d'autres que vous que doit tomber ma rage, Fuyez de ce funeste lieu."")",0.5,Substitution
236,,"('#cleone #arcas', 'Adieu, Dorine, adieu.')",1.0,Deletion
237,"('#syrinx', ""Les maux d'autrui me rendront sage. Ah ! Quel malheur  De laisser engager son coeur ! Pourquoi faut-il le plus beau de son âge Dans une mortelle langueur ? Ah, quel malheur !  Pourquoi n'avoir pas le courage De s'affranchir de la rigueur D'un funeste esclavage ? Ah ! Quel malheur De laisser engager son coeur !"")","('#medee', ""Sortez, ombres, sortez de la nuit éternelle. Voyez le jour pour le troubler. Hâtez-vous d'obéir quand ma voix vous appelle, Que l'affreux désespoir, que la rage cruelle Prennent soin de vous assembler. Sortez, ombres, sortez de la nuit éternelle."")",0.67,Substitution
238,,"('#le-choeur-de-l-enfer', 'Sortons de la nuit éternelle.')",1.0,Deletion
239,"('#pan', ""Ah ! Quel dommage Que vous ne sachiez pas aimer ! Que vous sert-il d'avoir tant d'attraits en partage, Si vous en négligez le plus grand avantage ? Que vous sert-il de savoir tout charmer ? Ah, quel dommage Que vous ne sachiez pas aimer !"")","('#medee', ""Venez peuple infernal, venez, Avancez malheureux coupables, Soyez aujourd'hui déchaînés : Goûtez l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",1.16,Substitution
240,,"('#le-choeur-de-l-enfer', ""Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",1.0,Deletion
241,"('#choeurs', 'Aimons sans cesse.')","('#medee', 'Redoublez en ce jour le soin que vous prenez De mes vengeances redoutables.')",1.29,Substitution
242,"('#choeur-des-nymphes', ""N'aimons jamais."")","('#le-choeur-de-l-enfer', 'Ordonnez, ordonnez.')",1.91,Substitution
243,"('#choeur-de-silvains #satyres #bergers', ""Pour vivre en paix. N'aimons jamais."")","('#medee', ""Ma rivale m'expose à des maux effroyables ; Qu'elle ait part aux tourments qui vous sont destinés : Tous les enfers impitoyables Auront peine à former des horreurs comparables Aux troubles qu'elle m'a donné : Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables."")",1.43,Substitution
244,"('#syrinx', ""Le chagrin suit toujours les coeurs que l'amour blesse."")","('#le-choeur-de-l-enfer', ""Goûtons l'unique bien des cours infortunés, Ne soyons pas seuls misérables. On nous tourmente Sans cesse aux enfers, Que l'on ressente Nos feux et nos fers. Tout doit se troubler, Tout doit trembler. La colère Ne laisse jamais Nos cours en paix ; Les plaintes qu'on peut faire Nous doivent toujours plaire, Et nous ne plaignons guère Les yeux qui sont en pleurs : Dans la rage, Les maux qu'on partage Ne sont pas sans douceurs. On nous déchaine, Suivons nos fureurs ; Dans notre peine Troublons tous les cours. Un grand désespoir Est doux à voir. La colère Ne laisse jamais Nos cours en paix ; Les plaintes qu'on peut faire Nous doivent toujours plaire, Et nous ne plaignons guère Les yeux qui sont en pleurs : Dans la rage, Les maux qu'on partage Ne sont pas sans douceurs. Les habitants des enfers expriment la douceur qu'ils trouvent dans les ordres que Médée leur donne de donner des frayeurs, et de faire de la peine à Aeglé."")",0.85,Substitution
245,"('#pan', ""La tranquille sagesse N'a que des plaisirs imparfaits."")","('#le-choeur-de-l-enfer', ""Que tout frémisse : Qu'avec nous tout gémisse : Quelle douceur de voir souffrir !"")",1.61,Substitution
246,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')","('#aegle', 'Ah quel effroyable supplice ! Faites-moi promptement mourir.')",1.67,Substitution
247,"('#choeur-des-nymphes', ""N'aimons jamais."")",,1.0,Insertion
248,"('#syrinx', 'On ne peut aimer sans faiblesse.')","('#le-choeur-de-l-enfer', ""Que tout frémisse : Qu'avec nous tout gémisse : Quelle douceur de voir souffrir !"")",0.98,Substitution
249,"('#pan', ""Que cette faiblesse a d'attraits !"")","('#aegle', 'Cruelle, ne voulez-vous pas Faire cesser ma peine ? Au moins achevez, inhumaine, Achevez mon trépas.')",1.69,Substitution
250,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')","('#medee', 'Satisfaites le roi, contentez mon envie, Si vous voulez sortir de cet affreux sejour.')",1.65,Substitution
251,"('#choeur-des-nymphes', ""N'aimons jamais."")","('#aegle', 'Hélas ! Laissez-moi mon amour, Prenez plutôt ma vie.')",1.41,Substitution
252,"('#choeur-de-silvains #satyres #bergers', ""Cédons à l'Amour qui nous presse Pour vivre heureux aimons sans cesse"")","('#medee', ""Ma rage en vous perdant ne peut être assouvie, C'est grâce, c'est pitié de vous ôter le jour."")",1.21,Substitution
253,"('#choeur-des-nymphes', ""Pour vivre en paix N'aimons jamais"")","('#aegle', ""Vous aurez beau me poursuivre, Vous aurez beau m'alarmer, Ce n'est qu'en cessant de vivre Que je puis cesser d'aimer."")",0.85,Substitution
254,,"('#medee', ""Achevez de savoir de quoi je suis capable ; La plus horrible mort n'a rien de comparable Au coup qui vous menace en ce fatal instant : Moi-même j'en frémis tant il est effroyable."")",1.0,Deletion
255,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')","('#aegle', ""Est-ce un crime si punissable D'avoir un coeur tendre et constant ?"")",1.5,Substitution
256,"('#choeur-des-nymphes', ""N'aimons jamais Pour vivre en paix"")","('#medee', ""Il n'est que trop aisé de percer un coeur tendre : Toute ma rage enfin va paraître à vos yeux."")",1.29,Substitution
257,"('#syrinx', ""Faut-il qu'en vain discours un si beau jour se passe ? Mes compagnes courons dans le fond des forêts. Voyons qui d'entre nous se sert mieux de ses traits Courons à la chasse."")","('#aegle', ""Quel spectacle vient me surprendre ? C'est Thésée endormi qu'on transporte en ces lieux."")",1.14,Substitution
258,"('#double-choeurs', 'À la chasse ! Courons à la chasse, à la chasse.')","('#medee', ""Venez à mon secours implacables furies. Que le sang innocent recommence à couler ; Il faut encor nous signaler Par de nouvelles barbaries, Venez à mon secours implacables furies. Les furies sortent tenant un tison ardent d'une main, et un couteau de l'autre."")",1.31,Substitution
259,,"('#aegle', 'Faut-il voir contre moi tous les enfers armés ?')",1.0,Deletion
260,"('#syrinx', 'Pourquoi me suivre de si près.')","('#medee', ""Tremblez en apprenant quel est votre supplice. Votre amant va périr, c'est vous qui m'animez À m'en faire à vos yeux un affreux sacrifice."")",1.66,Substitution
261,"('#pan', 'Pourquoi fuir qui vous aime ?')","('#aegle', ""Vous pouvez vouloir qu'il périsse ? Et vous dites que vous l'aimez ?"")",0.35,Substitution
262,"('#syrinx', ""Un amant m'embarrasse."")",,1.0,Insertion
263,"('#syrinx #choeurs', 'Courons à la chasse, à la chasse.')",,1.0,Insertion
264,"('#pan', ""Je ne puis vous quitter, mon coeur s'attacher à vous Par des noeuds trop forts et trop deux."")","('#medee', ""Il faut voir qui des deux l'aimera davantage, Plutôt que le céder, j'aime mieux que la mort En fasse entre nous le partage, Et l'amour n'en est que plus fort Quand il passe jusqu'à la rage. Dépêchez, achevez votre sanglant ouvrage. Elle parle aux furies."")",0.64,Substitution
265,"('#syrinx', ""Mes compagnes, venez... C'est en vain que j'appelle."")","('#aegle', ""Arrêtez, retenez leurs coups, J'épouserai le roi, je suivrai votre envie : Je cède ce héros, que son cour soit à vous, Rien ne m'est si cher que sa vie."")",1.05,Substitution
266,"('#pan', 'Écoutez, ingrate, écoutez  Un Dieu charmé de vos beautés; Qui vous jure un amour fidèle.')","('#medee', 'Mais aurez-vous bien le pouvoir De lui paraître ingrate, insensible, volage ?')",0.5,Substitution
267,,"('#aegle', ""C'est lui faire un cruel outrage, J'aimerais mieux ne le point voir."")",1.0,Deletion
268,,"('#medee', ""Non il faut lui montrer une âme déloyale Qui l'immole sans peine à la grandeur royale Tandis que je feindrai d'agir en sa faveur : Enfin je veux gagner son cour Par le secours de ma rivale."")",1.0,Deletion
269,,"('#aegle', 'Dieux ! Quelle contrainte fatale !')",1.0,Deletion
270,,"('#medee', 'Pour le prix de ses jours attirez ses mépris, Ou je vais...')",1.0,Deletion
271,"('#syrinx', ""Je déclare à l'Amour une guerre immortelle."")","('#aegle', ""Non, qu'il vive, il n'importe à quel prix : Je veux tout, je puis tout pour sauver ce que j'aime ; Mon amour vous promet de se trahir lui-même."")",0.79,Substitution
272,"('#troupe-de-bergers', 'Cruelle, arrêtez !')","('#medee', 'Cessez donc de trembler : voyez en un moment Changer ces lieux affreux en un séjour charmant.')",0.97,Substitution
273,"('#troupe-de-sylvains-et-de-satyres', 'Arrêtez cruelle.')","('#medee', ""Voyez ce que j'ai soin de faire Pour un trop malheureux amant."")",1.26,Substitution
274,"('#syrinx', 'On me retient de tous côtés')","('#thesee', ""Où suis-je ? Et d'où me vient ce nouvel ornement ?"")",1.95,Substitution
275,"('#troupe-de-sylvains-et-de-satyres', 'Cruelle, arrêtez !')","('#medee', ""J'ai voulu vous aider à plaire."")",1.49,Substitution
276,,"('#thesee', 'Mon épée ! Ah rendez-la moi.')",1.0,Deletion
277,"('#syrinx', ""Dieux, protecteurs de l'innocence,  Naïades, Nymphes des eaux. J'implore ici votre assistance. Syrinx se jette dans les eaux."")","('#medee', ""On va vous l'apporter. Si vous craignez le roi, Je serai vos plus fortes armes."")",1.57,Substitution
278,"('#pan', ""Où vous exposez-vous ? Quels prodiges nouveaux La nymphe est changée en roseaux ! Hélas ! hélas ! Quel bruit ! Qu'entends-je ! Ah ! Quelle voix nouvelle ! La Nymphe tâche encor d'exprimer ses regrets. Que son murmure est doux ! Que sa plainte a d'attraits. Ne cessons point de nous plaindre avec elle. Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Le vent pénètre dans les roseaux, et leur fait former un bruit plaintif. Pan donne des roseaux aux bergers, aux satyres et aux sylvains qui en forment un concert de flûtes."")","('#thesee', 'Après tout ce que je vous dois... Est-ce vous ? Ma princesse, est-ce vous que je vois ? Mais où détournez-vous vos regards pleins de charmes ? Il aperçoit AEglé.')",1.19,Substitution
279,"('#pan', ""Les yeux qui m'ont charmé ne verront plus le jour Était-ce ainsi, cruelle amour, Qu'il fallait te venger d'une beauté rebelle, N'aurait-il pas suffi de t'en rendre vainqueur  Et de voir dans les fers son insensible coeur, Brûler avec le mien d'une ardeur éternelle ? Que tout ressente mes tourments."")","('#medee', 'Quoy ? Vous ne tournez pas les yeux Sur un amant si glorieux ?')",1.07,Substitution
280,,"('#thesee', 'Belle AEglé, dites-moi, quel crime ai-je pu faire ?')",1.0,Deletion
281,"('#pan #deux-bergers', ""Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Argus commence à s'assoupir, Mercure déguisé en berger s'approche de lui, et achève de l'endormir en la touchant de son caducée."")","('#medee', ""N'appreéhendez-vous point qu'on ose se venger ?"")",1.43,Substitution
282,"('#pan', 'Que ces roseaux plaintifs soient à jamais aimés.')","('#thesee', ""Non, elle aura beau m'outrager, Elle me sera toujours chère."")",1.01,Substitution
283,"('#mercure', ""Il suffit Argus dort, tous ses yeux sont fermés, Allons, que rien ne nous retarde Délivrons la nymphe qu'il garde."")","('#medee', ""Tant d'amour ne vous touche pas ? Ingrate, croyez-vous qu'un trône ait plus d'appas ?"")",1.79,Substitution
284,,"('#thesee', ""Vous m'aviez tant promis de n'être point légère ?"")",1.0,Deletion
285,"('#mercure', ""Reconnaissez Mercure et fuyez avec nous; Éloignez-vous d'Argus, avant qu'il se réveille."")","('#medee', ""De quoi ne vient point à bout Un roi qui veut plaire ? La constance ne tient guère Contre un amant qui peut tout. Le roi doit redouter que mon dépit n'éclate : Pour regagner son cour, je vais encor le voir. Essayez, cependant, d'attendrir cette ingrate : Si tous nos soins unis ne peuvent l'émouvoir, Votre amour seul peut-être aura plus de pouvoir."")",0.94,Substitution
286,"('#hierax', 'Argus avec cent yeux sommeille; Mais croyez vous endormir un amant jaloux ? Demeurez !')","('#thesee', ""AEglé ne m'aime plus, et n'a rien à me dire ? Qu'avez-vous fait des noeuds que l'amour fit pour nous ? Quoi pour les briser tous. Un jour, un seul jour peut suffire ? J'aurais abandonné le plus puissant empire Pour garder des liens si doux."")",1.25,Substitution
287,"('#mercure', ""Malheureux ! d'où te vient cette audace ?"")","('#aegle', ""Cessez d'aimer une volage ; Servez-vous de votre courage Pour chercher un plus heureux sort."")",1.53,Substitution
288,"('#hierax', ""J'ai tout perdu j'attends le trépas sans effroi. Un coup de foudre est une grâce  Pour un malheureux comme moi. Éveillez vous, Argus, éveillez-vous, vous vous laissez surprendre."")","('#thesee', ""Je ne m'en servirai que pour chercher la mort. Si la belle AEglé m'est ravie Je ne prétends plus rien : Je perds l'unique bien Qui m'aurait fait aimer la vie."")",0.61,Substitution
289,"('#hierax #argus', 'Puissante reine des cieux  Junon venez nous défendre.')",,1.0,Insertion
290,"('#mercure', ""Commencez d'éprouver la colère des Dieux. Argus tombe mort, et Hiérax changé en oiseau de proie s'envole."")",,1.0,Insertion
291,"('#choeurs', 'Fuyons.')","('#aegle', 'Hélas !')",0.26,Substitution
292,"('#io', 'Vous me quittez ? Quel secours puis-je attendre !')","('#thesee', 'Ah ! Quel soupir échappe à votre cour !')",1.22,Substitution
293,"('#choeurs', 'Fuyons, Junon vient dans ces lieux.')",,1.0,Insertion
294,"('#junon', ""Revois le jour, Argus que ta figure change. Et vous Nymphe apprenez comment Junon se venge. Sors, barbare Erinnis, sors du fond des Enfers ; Viens, prends de servir ma vengeance fatale Et d'en montrer l'horreur en cent climats divers Épouvante tout l'univers Par les tourments de ma rivale Viens la punir au gré de mon courroux; Redoutable ta rage infernale Et fais s'il se peut qu'elle égale La fureur de mon coeur jaloux. La Furie sort des Enfers, elle poursuit Io et l'enlève ; Junon remonte dans le Ciel."")","('#aegle', ""Ce soupir échappé n'est que pour la grandeur."")",1.04,Substitution
295,"('#io', 'Ô Dieux ! Ô Dieux ! Où me réduisez vous ?')",,1.0,Insertion
296,"('#choeur-des-peuples', ""L'hiver qui nous tourmente S'obstine à nous geler Nous ne saurions parler Qu'avec une voix tremblante La neige et les glaçons Nous donnent de mortels frissons Les frimas se répandent  Sur nos corps languissants; Le froid transit nos sens Les plus durs rochers se fendent. La neige et les glaçons Nous donnent de mortels frissons"")","('#thesee', 'Vos beaux yeux répandent des larmes ?')",1.4,Substitution
297,"('#io', ""Laisse-moi, cruelle Furie,  Cruelle, laisse moi respirer un moment Ah ! Barbare, plus je te prie, Et plus tu prends plaisir d'augmenter mon tourment."")","('#aegle', ""Non, non, sans m'attendrir je verrai vos douleurs."")",1.0,Substitution
298,"('#la-furie', 'Soupire, gémis, pleure, Crie je me fais de tes peines un spectacle charmant.')","('#thesee', ""Vous voulez me cacher vos pleurs ? Pourquoi m'en dérober les charmes ?"")",0.59,Substitution
299,,"('#aegle', 'Ah ! Que vous me donnez de mortelles alarmes ? On vous a peut-être entendu Thésée, et vous êtes perdu.')",1.0,Deletion
300,,"('#thesee', ""On ne nous entend point, non, ma belle princesse, Si vous m'aimez toujours ne craignez rien pour moi."")",1.0,Deletion
301,,"('#aegle', ""Que nous payerons cher l'excès de ma tendresse ? Il y va de vos jours, j'épouserai le roi."")",1.0,Deletion
302,"('#io', ""Laisse moi, cruelle Furie Cruelle laisse moi respirer un moment Quel horrible séjour ! Quel froid insupportable ! Tes serpents animés par ta rage implacable. Ne sont-ils pas d'assez cruels bourreaux ?  Pour punir un coeur misérable, Viens-tu chercher si loin des supplices nouveaux ?"")","('#thesee', ""C'est trop appréhender que le roi ne s'irrite. Il faut vous dire tout, l'amour m'en sollicite ; Je suis fils du roi,"")",0.77,Substitution
303,,"('#aegle', 'Vous, seigneur !')",1.0,Deletion
304,,"('#thesee', ""Je n'ai montré d'abord que ma seule valeur, C'était à mon propre mérite Que je voulais devoir ma gloire et votre cour."")",1.0,Deletion
305,"('#la-furie', ""Malheureux habitants d'une demeure affreuse,  Connaissez de Junon le funeste courroux: Par sa vengeance rigoureuse Vous voyez une malheureuse Qui souffre cent fois plus que vous."")","('#aegle', ""Le roi, le monde entier prendraient en vain les armes, Il n'est rien de si fort que Médée, et ses charmes, Nous sommes les objets de ses transports jaloux. S'ils n'en voulaient qu'à moi je les braverais tous, Mais ils m'ont su frapper par où je suis sensible."")",0.57,Substitution
306,,"('#thesee', 'Quoi, le roi sera votre époux ?')",1.0,Deletion
307,,"('#aegle', 'Je ne puis vous sauver sans cet hymen horrible.')",1.0,Deletion
308,"('#io #la-furie', 'Vous voyez une malheureuse Qui souffre cent fois plus que vous.')","('#thesee', ""Laissez armer plutôt tout l'enfer en courroux ; Le trépas est cent fois plus doux Qu'un secours si terrible ; Vivez pour moi, s'il est possible, Ou laissez-moi mourir pour vous."")",0.69,Substitution
309,"('#choeur-des-peuples', ""Ah ! Quelle peine  De trembler de languir dans l'horreur des frimas."")","('#aegle #thesee', 'Quel injustice ! Que de tourments ! Ah quel supplice De briser des noeuds si charmants !')",0.77,Substitution
310,"('#io', ""Ah ! Quelle peine D'éprouver tant de maux, sans trouver le trépas Ah ! quelle vengeance inhumaine !"")","('#medee', ""Finissez vos regrets, c'est trop, c'est trop vous plaindre, Je viens d'entendre tout il n'est plus temps de feindre."")",0.63,Substitution
311,"('#la-furie', ""Viens changer de tourments, passe en d'autres climats."")","('#aegle', ""Pardonnez à l'amour qui ne m'a pas permis De tenir ce que j'ai promis."")",1.82,Substitution
312,"('#io', 'Ah ! Quelle peine !')","('#thesee', 'Vengez-vous sur moi seul de notre amour extrême.')",1.37,Substitution
313,"('#choeur-des-peuples', ""Ah ! quelle peine  De trembler de languir dans l'horreur des frimas."")","('#aegle', ""C'est par mon seul trépas qu'il faut nous désunir."")",1.54,Substitution
314,"('#choeur-des-chabyles', 'Tôt tôt tôt.')",,1.0,Insertion
315,"('#premier-conducteur-des-chabyles', ""Que chacun avec soin s'empresse."")",,1.0,Insertion
316,"('#second-conducteur-chabyles', ""Forgez, qu'on travaille sans cesse."")","('#thesee', 'Sa vie est la faveur que je veux obtenir.')",1.44,Substitution
317,"('#les-deux-conducteurs', ""Qu'on prépare tout ce qu'il faut  Tôt tôt tôt. Le choeur des Chabyles répète ces deux derniers vers, dans le temps que plusieurs Chalybes travaillent dans les forges, quelques autres vont et viennent avec empressement pour apporter l'acier des mines et pour disposer ce qui est nécessaire au travail qui se fait."")","('#aegle', 'Conservez ce héros, sauvez-le pour vous-même.')",1.67,Substitution
318,"('#les-deux-conducteurs #choeur-des-chalybes', ""Que le feu des forges s'allume : Travaillons d'un effort nouveau : Qu'on fasse retentir l'enclume Sous les coups pesants du marteau. Entrée des forgerons."")","('#aegle #thesee', ""Épargnez ce que j'aime, C'est moi, c'est moi qu'il faut punir."")",1.53,Substitution
319,"('#io', ""Quel déluge de feux vient sur moi se répandre. Ô ciel ! Les chalybes passent auprès d'Io avec des morceaux d'épées, de lances et de haches à demi forgées."")","('#medee', ""Je vous aime, Thésée, et vous l'allez connaître, Le crime enfin commence à me paraître affreux, Je respecte de si beaux noeuds, Ma rage a beau s'armer, vous en êtes le maître ; Votre vertu m'inspire un dépit généreux, Je rendrai ce que j'aime heureux Puisque mon amour ne peut l'être."")",0.87,Substitution
320,"('#la-furie', ""Le ciel ne peut t'entendre, Tu ne te plains pas assez haut."")",,1.0,Insertion
321,"('#les-deux-conducteurs #le-choeur-des-chalybes', 'Tôt, tôt, tôt.')",,1.0,Insertion
322,"('#io', 'Junon serait moins inhumaine.  Tu me fais trop souffrir, tu sers trop bien sa haine.')",,1.0,Insertion
323,"('#la-furie', 'Au gré de son dépit jaloux Les maux les plus cruels seront encore trop doux.')","('#aegle #thesee', 'Quel bonheur surprenant pour nos cours amoureux !')",0.98,Substitution
324,"('#io', ""Hélas ! Quelle rigueur extrême C'est en vain que Jupiter m'aime La haine de Junon jouit de mon tourment Que vous haïssez fortement, Grand Dieux ! Qu'il s'en faut bien que vous aimiez de même !"")","('#medee', 'Espérez tout de mon secours. Vous pouvez reprendre vos armes. Gardez vos tendres amours, Goûtez-en les charmes, Aimez sans alarmes, Aimez-vous toujours. Thésée reprend son épée. Médée continue.')",0.76,Substitution
325,,"('#aegle #thesee', 'Gardons nos tendres amours, Goûtons-en les charmes, Aimons sans alarmes, Aimons-nous toujours.')",1.0,Deletion
326,"('#conducteurs #choeurs-chalybes', ""Qu'on prépare tout ce qu'il faut  Tôt, tôt, tôt, tôt, tôt. Les feux des forges redoublent et les Chabyles environnent Io avec des morceaux d'acier rouges et brûlants."")","('#medee', 'Habitants fortunés de ces lieux si charmants ; Commencez les plaisirs de ces heureux amants.')",1.03,Substitution
327,"('#io', 'Ne pourrai-je cesse de vivre ? Cherchons le trépas dans les flots.')","('#deux-bergeres', ""Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. Ces lieux tranquilles Sont les asiles Des doux plaisirs, Et des heureux loisirs : La terre est belle, La fleur nouvelle Rit aux zéphirs. Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. C'est dans nos bois Qu'amour a fait ses lois : Leur vert feuillage Doit toujours durer, Un cour sauvage N'y doit point entrer. Que nos prairies Seront fleuries ! Les cours glacés Pour jamais en sont chassés. La seule affaire D'une bergère C'est de songer À l'amour de son berger. Lorsqu'il la mène, Bien qu'elle prenne De longs détours, Tous les chemins sont courts : Sa bergerie Est moins chérie Que ses amours. La seule affaire D'une bergère C'est de songer À l'amour de son berger. Quand son amant La quitte un seul moment, Nos champs pour elle N'ont plus d'autre bien, Elle en querelle Jusques à son chien. La seule affaire D'une bergère C'est de songer À l'amour de son berger."")",1.32,Substitution
328,"('#la-furie', ""Partout ma rage doit te suivre N'attends ni secours ni repos. Io fuit et monte au haut d'un rocher d'où elle se précipite dans la mer. La Furie s'y jette après la Nymphe."")","('#bergers', ""Aimons, tout nous y convie, On aime ici sans danger, Il est permis de changer, Chacun y suit son envie : Mais, heureux, cent, et cent fois, Un amant qui fait un choix Qui dure autant que sa vie ! Fuyons le bruit des villages, Fuyons l'éclat du grand jour, Les fruits charmants de l'amour Sont dans les sombres bocages. N'ayons point de peur des loups, Ne craignons que les jaloux Qui sont encor plus sauvages."")",0.96,Substitution
329,"('#choeur-chalybes', ""Qu'on prépare tout ce qu'il faut  Tôt tôt tôt."")",,1.0,Insertion
330,"('#choeur-de-la-suite-des-parques', ""Exécutons l'arrêt du sort Suivons ses lois les plus cruelles. Présentons sans cesse à la Mort Des victimes nouvelles"")","('#un-habitant', ""Quel plaisir d'aimer Sans contrainte ! Nous pouvons former Des voeux sans crainte. Première chanson."")",1.12,Substitution
331,"('#la-guerre', 'Que le fer.')",,1.0,Insertion
332,"('#la-famine', 'Que la faim.')",,1.0,Insertion
333,"('#l-incendie', 'Que les feux')","('#choeur-des-habitants', ""Quel plaisir d'aimer Sans contrainte ! Nous pouvons former Des voeux sans crainte."")",1.71,Substitution
