,quinault-isis,voltaire-pandore,Cost,Operation Type
61,"('#jupiter', 'Et pourquoi craignez vous Jupiter qui vous aime ?')",,1.0,Insertion
62,"('#io', 'Je crains tout, je me crains moi-même.')",,1.0,Insertion
63,"('#jupiter', 'Quoi ! voulez vous me fuir')","('#mercure', 'Obéissez, montez aux cieux. ')",1.32,Substitution
64,"('#io', ""C'est mon dernier espoir."")",,1.0,Insertion
65,"('#jupiter', 'Écoutez mon amour.')","('#pandore', ""Ah ! J'étais dans le ciel en voyant ce que j'aime. "")",0.82,Substitution
66,"('#io', 'Écoutez mon devoir.')",,1.0,Insertion
67,"('#jupiter', 'Vous avez un coeur libre et qui peut de défendre')",,1.0,Insertion
68,"('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')",,1.0,Insertion
69,"('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",,1.0,Insertion
70,"('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")",,1.0,Insertion
71,"('#jupiter', 'Quoi si tôt.')",,1.0,Insertion
72,"('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')",,1.0,Insertion
73,"('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")","('#promethee', 'Cruels ! ayez pitié de ma douleur extrême. ')",0.99,Substitution
74,"('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")","('#pandore #promethee', 'Barbares, arrêtez. ')",0.49,Substitution
75,"('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')","('#mercure', ""Venez, montez aux cieux, partez :  Jupiter commande :  Il faut qu'on se rende  À ses volontés.  Venez, montez aux cieux, partez.  Vents, obéissez-nous, et déployez vos ailes :  Vents, conduisez Pandore aux voûtes éternelles.  Le char disparaît."")",1.01,Substitution
76,"('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")","('#promethee', ""On l'enlève : tyrans jaloux,  Dieux, vous m'arrachez mon partage :  Il était plus divin que vous :  Vous étiez malheureux, vous étiez en courroux  Du bonheur qui fut mon ouvrage :  Je ne devais qu'à moi ce bonheur précieux.  J'ai fait plus que Jupiter même,  Je me suis fait aimer. J'animais ces beaux yeux :  Ils m'ont dit en s'ouvrant : Vous m'aimez, je vous aime.  Elle vivait par moi, je vivais dans son coeur,  Dieux jaloux, respectez nos chaînes.  Ô Jupiter ! Ô fureurs inhumaines !  Éternel persécuteur,  De l'infortune créateur; Tu sentiras toutes mes peines.  Je braverai ton pouvoir :  Ta foudre épouvantable  Sera moins redoutable  Que mon amour au désespoir. "")",0.9,Substitution
77,"('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')",,1.0,Insertion
78,"('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")",,1.0,Insertion
79,"('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")","('#jupiter', ""Je l'ai vu cet objet sur la terre animé :  Je l'ai vu, j'ai senti des transports qui m'étonnent :  Le ciel est dans ses yeux, les grâces l'environnent :  Je sens que l'Amour l'a formé. "")",0.94,Substitution
80,"('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")",,1.0,Insertion
81,"('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")",,1.0,Insertion
82,"('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')",,1.0,Insertion
83,"('#mercure', ""Refusez vous d'unir votre coeur et le mien."")","('#mercure', 'Vous régnez, vous plairez, vous la rendrez sensible,  Vous allez éblouir ses yeux à peine ouverts. ')",0.86,Substitution
84,"('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")","('#jupiter', ""Non, je ne fus jamais que puissant et terrible :  Je commande à l'Olympe, à la terre, aux enfers :  Les coeurs sont à l'Amour. Ah ! que le sort m'outrage !  Quand il donna les cieux, quand il donna les mers,  Quand il divisa l'univers,  L'Amour eut le plus beau partage. "")",1.09,Substitution
85,"('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')",,1.0,Insertion
86,"('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')","('#mercure', ""Que craignez-vous ? Pandore à peine a vu le jour,  Et d'elle-même encore à peine a connaissance :  Aurait-elle senti l'amour  Dès le moment de sa naissance ? "")",1.32,Substitution
87,"('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")","('#jupiter', ""L'Amour instruit trop aisément.  Que ne peut point Pandore ? Elle est femme, elle est belle.  La voilà : jouissons de son étonnement.  Retirons-nous pour un moment  Sous les arcs lumineux de la voûte éternelle.  Cieux, enchantez ses yeux, et parlez à son coeur :  Vous déploierez en vain ma gloire et ma splendeur :  Vous n'avez rien de si beau qu'elle.  Il se retire."")",0.27,Substitution
88,"('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")","('#pandore', ""À peine j'ai goûté l'aurore de la vie :  Mes yeux s'ouvraient au jour, mon coeur à mon amant :  Je n'ai respiré qu'un moment.  Douce félicité, pourquoi m'es-tu ravie ?  On m'avait fait craindre la mort :  Je l'ai connue, hélas ! Cette mort menaçante :  N'est-ce pas mourir, quand le sort  Nous ravit ce qui nous enchante ?  Dieux, rendez-moi la terre et mon obscurité,  Ce bocage où j'ai vu l'amant qui m'a fait naître :  Il m'avait deux fois donné l'être :  Je respirais, j'aimais : quelle félicité !  À peine j'ai goûté l'aurore de la vie, etc.  Tous les dieux avec tous leurs attributs entrent sur la scène."")",0.37,Substitution
