,quinault-cadmus-hermione,quinault-isis,Cost,Operation Type
207,"('#premier-prince-tyrien', ""Cadmus veut essayer de rendre Mars propice, C'est ici qu'il prétend offrir un sacrifice."")","('#choeur-de-silvains #satyres #bergers', ""Pour vivre en paix. N'aimons jamais."")",1.96,Substitution
208,"('#deuxieme-prince-tyrien', 'Pour des soins différents il faut nous séparer.')","('#syrinx', ""Le chagrin suit toujours les coeurs que l'amour blesse."")",1.59,Substitution
209,,"('#pan', ""La tranquille sagesse N'a que des plaisirs imparfaits."")",1.0,Deletion
210,"('#les-deux-princes-tyriens', 'Allons nous préparer.')","('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",1.66,Substitution
211,,"('#choeur-des-nymphes', ""N'aimons jamais."")",1.0,Deletion
212,"('#arbas', ""Acquittons-nous des soins où Cadmus nous engage. Quel bruit ! Non, ce n'est rien, courage amis, courage ! Qu'on a peine à donner du courage en tremblant Il ne tient pas à moi que je ne sois vaillant, Je tâche au moins de le paraître ; Je ne suis pas le seul qui se pique de l'être, Et qui n'en fait que le semblant. Il faut puiser de l'eau pour la cérémonie ; Avancez, je vous suis. Quel dragon furieux !"")","('#syrinx', 'On ne peut aimer sans faiblesse.')",1.39,Substitution
213,"('#les-deux-africains', ""Ô Dieux ! Ô Dieux ! Dans le temps que les deux Africains veulent puiser de l'eau, le Dragon s'élance sur eux, et les entraîne."")",,1.0,Insertion
214,"('#arbas', ""Ah ! C'est fait de ma vie. N'est-il point d'arbres, ou de rocher, Qui s'entrouve pour me cacher ?"")","('#pan', ""Que cette faiblesse a d'attraits !"")",1.27,Substitution
215,"('#cadmus', 'Où vas-tu ?')",,1.0,Insertion
216,"('#arbas', 'Le Dragon...')",,1.0,Insertion
217,"('#cadmus', 'Hé bien ?')","('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",1.48,Substitution
218,,"('#choeur-des-nymphes', ""N'aimons jamais."")",1.0,Deletion
219,"('#arbas', 'Ah ! mon cher maître...')","('#choeur-de-silvains #satyres #bergers', ""Cédons à l'Amour qui nous presse Pour vivre heureux aimons sans cesse"")",1.59,Substitution
220,,"('#choeur-des-nymphes', ""Pour vivre en paix N'aimons jamais"")",1.0,Deletion
221,"('#cadmus', 'Parle donc ?')","('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",1.05,Substitution
222,,"('#choeur-des-nymphes', ""N'aimons jamais Pour vivre en paix"")",1.0,Deletion
223,,"('#syrinx', ""Faut-il qu'en vain discours un si beau jour se passe ? Mes compagnes courons dans le fond des forêts. Voyons qui d'entre nous se sert mieux de ses traits Courons à la chasse."")",1.0,Deletion
224,,"('#double-choeurs', 'À la chasse ! Courons à la chasse, à la chasse.')",1.0,Deletion
225,"('#arbas', 'Le Dragon...')",,1.0,Insertion
226,"('#cadmus', ""Où le vois-tu paraître Je regarde partout, et je n'aperçois rien."")","('#syrinx', 'Pourquoi me suivre de si près.')",1.31,Substitution
227,"('#arbas', 'Quoi le dragon nous suit ? Mais regardez bien ?')","('#pan', 'Pourquoi fuir qui vous aime ?')",1.43,Substitution
228,"('#cadmus', ""Où sont les compagnons ? Qui t'oblige à te taire ? Tu parais interdit d'effroi ?"")","('#syrinx', ""Un amant m'embarrasse."")",1.29,Substitution
229,,"('#syrinx #choeurs', 'Courons à la chasse, à la chasse.')",1.0,Deletion
230,,"('#pan', ""Je ne puis vous quitter, mon coeur s'attacher à vous Par des noeuds trop forts et trop deux."")",1.0,Deletion
231,,"('#syrinx', ""Mes compagnes, venez... C'est en vain que j'appelle."")",1.0,Deletion
232,"('#arbas', ""Seigneur, vous jugez mal de moi, Si je suis interdit, ce n'est que de colère. Mes pauvres compagnons ! Hélas ! Le dragon n'en a fait qu'un fort léger repas."")","('#pan', 'Écoutez, ingrate, écoutez  Un Dieu charmé de vos beautés; Qui vous jure un amour fidèle.')",1.31,Substitution
233,,"('#syrinx', ""Je déclare à l'Amour une guerre immortelle."")",1.0,Deletion
234,,"('#troupe-de-bergers', 'Cruelle, arrêtez !')",1.0,Deletion
235,,"('#troupe-de-sylvains-et-de-satyres', 'Arrêtez cruelle.')",1.0,Deletion
236,"('#cadmus', 'Allons il faut que je les venge.')","('#syrinx', 'On me retient de tous côtés')",1.58,Substitution
237,,"('#troupe-de-sylvains-et-de-satyres', 'Cruelle, arrêtez !')",1.0,Deletion
238,"('#arbas', 'Quelle hâte avez-vous que le Dragon vous mange ? Laissez-le se cacher. Ah ! Le voilà qui sort ! Au secours ! Au secours ! Je suis mort ! Je suis mort ! Ô ciel ! Où sera mon asile ? La frayeur me rend immobile ; Je ne saurais plus faire un pas : Ah ! cachons-nous, ne soufflons pas. Arbas se cache et Cadmus combat contre le dragon.')","('#syrinx', ""Dieux, protecteurs de l'innocence,  Naïades, Nymphes des eaux. J'implore ici votre assistance. Syrinx se jette dans les eaux."")",1.56,Substitution
239,"('#cadmus', ""Il ne faut plus que je diffère D'engager le Dieu Mars à calmer sa colère ; Si je puis l'adoucir, rien ne peut me troubler. Mes gens sont écartés, il faut les rassembler."")","('#pan', ""Où vous exposez-vous ? Quels prodiges nouveaux La nymphe est changée en roseaux ! Hélas ! hélas ! Quel bruit ! Qu'entends-je ! Ah ! Quelle voix nouvelle ! La Nymphe tâche encor d'exprimer ses regrets. Que son murmure est doux ! Que sa plainte a d'attraits. Ne cessons point de nous plaindre avec elle. Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Le vent pénètre dans les roseaux, et leur fait former un bruit plaintif. Pan donne des roseaux aux bergers, aux satyres et aux sylvains qui en forment un concert de flûtes."")",1.03,Substitution
240,"('#arbas', ""Le Dragon assouvi de sang et de carnage, S'est enfin retiré dans quelque antre sauvage : Tout est calme en ces lieux, et je n'entends plus rien. Je sens revenir mon courage, Allons conter partout le trépas de mon maître Que je plains son funeste sort ! Allons, mais que vois-je paraître ! Le Dragon étendu ! Ne fait-il point le mort ? Non, je le vois percé, son sang coule, ah ! Le traître ! Je ne puis contre lui retenir mon courroux, Et je lui veux donner au moins les derniers coups. Arbas met l'épée à la main et va percer le Dragon, qui fait encore quelque mouvement qui oblige Arbas de retourner sur le devant du théâtre."")","('#pan', ""Les yeux qui m'ont charmé ne verront plus le jour Était-ce ainsi, cruelle amour, Qu'il fallait te venger d'une beauté rebelle, N'aurait-il pas suffi de t'en rendre vainqueur  Et de voir dans les fers son insensible coeur, Brûler avec le mien d'une ardeur éternelle ? Que tout ressente mes tourments."")",0.19,Substitution
241,"('#premier-prince-tyrien', ""Quoi l'épée à la main ! Que faut-il entreprendre ?"")",,1.0,Insertion
242,"('#deuxieme-prince-tyrien', 'De quel péril es-tu pressé ?')","('#pan #deux-bergers', ""Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Argus commence à s'assoupir, Mercure déguisé en berger s'approche de lui, et achève de l'endormir en la touchant de son caducée."")",1.81,Substitution
243,"('#les-deux-princes-tyriens', 'Nous aurons soin de te défendre.')","('#pan', 'Que ces roseaux plaintifs soient à jamais aimés.')",1.45,Substitution
244,"('#arbas', 'Vous venez un peu tard, le péril est passé.')","('#mercure', ""Il suffit Argus dort, tous ses yeux sont fermés, Allons, que rien ne nous retarde Délivrons la nymphe qu'il garde."")",1.51,Substitution
245,"('#les-deux-princes-tyriens', ""Que voyons nous ! Qui l'eût pû croire ? Quoi le Dragon est abbattu !"")","('#mercure', ""Reconnaissez Mercure et fuyez avec nous; Éloignez-vous d'Argus, avant qu'il se réveille."")",1.6,Substitution
246,"('#arbas', 'Nous en avons sans vous remporter la victoire.')","('#hierax', 'Argus avec cent yeux sommeille; Mais croyez vous endormir un amant jaloux ? Demeurez !')",1.51,Substitution
247,"('#premier-prince-tyrien', 'As-tu suivi Cadmus ?')",,1.0,Insertion
248,"('#deuxieme-prince-tyrien', 'As-tu part à sa gloire ?')","('#mercure', ""Malheureux ! d'où te vient cette audace ?"")",0.73,Substitution
249,"('#arbas', ""Eh, nous n'étions pas loin quand il a combattu."")",,1.0,Insertion
250,"('#les-deux-princes-tyriens', 'Conte-nous ce combat.')",,1.0,Insertion
251,"('#arbas', ""J'en suis si hors d'haleine. Que je ne puis encore m'exprimer qu'avec peine. Il est bon d'essuyer ce fer ensanglanté, De crainte qu'il ne soit gâté."")","('#hierax', ""J'ai tout perdu j'attends le trépas sans effroi. Un coup de foudre est une grâce  Pour un malheureux comme moi. Éveillez vous, Argus, éveillez-vous, vous vous laissez surprendre."")",1.11,Substitution
252,,"('#hierax #argus', 'Puissante reine des cieux  Junon venez nous défendre.')",1.0,Deletion
253,,"('#mercure', ""Commencez d'éprouver la colère des Dieux. Argus tombe mort, et Hiérax changé en oiseau de proie s'envole."")",1.0,Deletion
254,"('#les-deux-princes-tyriens', ""Ah ! Quels chagrins pour nous de manquer l'avantage De signaler notre courage !"")","('#choeurs', 'Fuyons.')",1.07,Substitution
255,"('#arbas', 'Tous ces chagrins, et ces regrets Sont des soins qui ne coûtent guère, Quand on ne voit plus rien à faire On fait le brave à peu de frais.')","('#io', 'Vous me quittez ? Quel secours puis-je attendre !')",1.46,Substitution
256,,"('#choeurs', 'Fuyons, Junon vient dans ces lieux.')",1.0,Deletion
257,"('#premier-prince-tyrien', 'On prend peu garde à toi ; Cadmus nous rend justice, Mais il vient, rangeons-nous pour voir le sacrifice.')","('#junon', ""Revois le jour, Argus que ta figure change. Et vous Nymphe apprenez comment Junon se venge. Sors, barbare Erinnis, sors du fond des Enfers ; Viens, prends de servir ma vengeance fatale Et d'en montrer l'horreur en cent climats divers Épouvante tout l'univers Par les tourments de ma rivale Viens la punir au gré de mon courroux; Redoutable ta rage infernale Et fais s'il se peut qu'elle égale La fureur de mon coeur jaloux. La Furie sort des Enfers, elle poursuit Io et l'enlève ; Junon remonte dans le Ciel."")",0.58,Substitution
258,,"('#io', 'Ô Dieux ! Ô Dieux ! Où me réduisez vous ?')",1.0,Deletion
259,,"('#choeur-des-peuples', ""L'hiver qui nous tourmente S'obstine à nous geler Nous ne saurions parler Qu'avec une voix tremblante La neige et les glaçons Nous donnent de mortels frissons Les frimas se répandent  Sur nos corps languissants; Le froid transit nos sens Les plus durs rochers se fendent. La neige et les glaçons Nous donnent de mortels frissons"")",1.0,Deletion
260,"('#le-grand-sacrificateur', 'Mars ! Ô toi qui peux Déchaîner quand tu veux Les fureurs de la guerre,')","('#io', ""Laisse-moi, cruelle Furie,  Cruelle, laisse moi respirer un moment Ah ! Barbare, plus je te prie, Et plus tu prends plaisir d'augmenter mon tourment."")",0.54,Substitution
261,"('#le-choeur-des-sacrificateurs', 'Ô mars ! Reçois nos voeux.')",,1.0,Insertion
262,"('#le-grand-sacrificateur', ""Ton funeste courroux n'est pas moins dangereux Que l'éclat fatal du tonnerre : Ô Mars ! Reçois nos voeux."")","('#la-furie', 'Soupire, gémis, pleure, Crie je me fais de tes peines un spectacle charmant.')",0.98,Substitution
263,"('#le-choeur-des-sacrificateurs', 'Ô Mars ! Reçois nos voeux.')",,1.0,Insertion
264,"('#le-grand-sacrificateur', 'Les combats sanglants sont tes jeux ; Tu sais, quand il te plaît, remplir toute la Terre De ravages affreux. Ô Mars ! Reçois nos voeux.')","('#io', ""Laisse moi, cruelle Furie Cruelle laisse moi respirer un moment Quel horrible séjour ! Quel froid insupportable ! Tes serpents animés par ta rage implacable. Ne sont-ils pas d'assez cruels bourreaux ?  Pour punir un coeur misérable, Viens-tu chercher si loin des supplices nouveaux ?"")",0.5,Substitution
265,"('#le-choeur-des-sacrificateurs', 'Ô Mars ! Reçois nos voeux. Les sacrificateurs chantants demeurent prosternés, les sacrificateurs dansants font cependant une entrée au son des timbales et au bruit des Armes, après quoi les sacrificateurs chantants se relèvent et chantent.')",,1.0,Insertion
266,"('#le-grand-sacrificateur', 'Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')","('#la-furie', ""Malheureux habitants d'une demeure affreuse,  Connaissez de Junon le funeste courroux: Par sa vengeance rigoureuse Vous voyez une malheureuse Qui souffre cent fois plus que vous."")",1.56,Substitution
267,,"('#io #la-furie', 'Vous voyez une malheureuse Qui souffre cent fois plus que vous.')",1.0,Deletion
268,"('#le-choeur-des-sacrificateurs', 'Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')","('#choeur-des-peuples', ""Ah ! Quelle peine  De trembler de languir dans l'horreur des frimas."")",1.85,Substitution
269,"('#le-grand-sacrificateur', 'Ô Mars impitoyable : Est-il révocable Que ta haine implacable Accable Une âme inébralable Au milieu des hasards.')","('#io', ""Ah ! Quelle peine D'éprouver tant de maux, sans trouver le trépas Ah ! quelle vengeance inhumaine !"")",0.89,Substitution
270,"('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')",,1.0,Insertion
271,"('#le-grand-sacrificateur', 'Que les tumultes des alarmes, Que le bruit, que le choc, que le fracas des armes, Retentisse de toutes parts.')","('#la-furie', ""Viens changer de tourments, passe en d'autres climats."")",1.31,Substitution
272,"('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')","('#io', 'Ah ! Quelle peine !')",1.46,Substitution
273,"('#le-grand-sacrificateur', ""Qu'on fasse approcher la victime : Puisse-t-elle calmer le courroux qui t'anime, Et n'attirer sur nous que tes doux regards."")","('#choeur-des-peuples', ""Ah ! quelle peine  De trembler de languir dans l'horreur des frimas."")",1.28,Substitution
274,,"('#choeur-des-chabyles', 'Tôt tôt tôt.')",1.0,Deletion
275,,"('#premier-conducteur-des-chabyles', ""Que chacun avec soin s'empresse."")",1.0,Deletion
276,"('#le-choeur', 'Ô Mars ! ô Mars ! ô Mars ! Mars redoutable ! Mars indomptable ! Ô Mars ! ô Mars ! ô Mars !')",,1.0,Insertion
277,"('#mars', ""C'est vainement que l'on espère Que d'inutiles voeux apaisent ma colère ; Je ne révoque point mes lois. Si Cadmus veut me satisfaire Qu'il achève, s'il peut, de mériter mon choix ! Un vain respect ne peut me plaire, On ne satisfait Mars que par de grands exploits. Vous, que l'enfer a nourries Venez, cruelles Furies, Venez, brisez l'autel en cent morceaux épars !"")","('#second-conducteur-chabyles', ""Forgez, qu'on travaille sans cesse."")",1.47,Substitution
278,"('#le-choeur', ""Ô Mars ! ô Mars ! ô Mars ! Quatre Furies descendent qui brisent l'Autel, et s'envolent ensuite, tenant chacune un tison du sacrifice à la main. Le char de Mars tourne dans un même temps, et l'emporte au fonds du théâtre, où l'on le perd de vue, et tous les sacrificateurs et les assistants se retirent, criant, ô Mars !"")","('#les-deux-conducteurs', ""Qu'on prépare tout ce qu'il faut  Tôt tôt tôt. Le choeur des Chabyles répète ces deux derniers vers, dans le temps que plusieurs Chalybes travaillent dans les forges, quelques autres vont et viennent avec empressement pour apporter l'acier des mines et pour disposer ce qui est nécessaire au travail qui se fait."")",0.95,Substitution
279,"('#cadmus', ""Voici le Champ de Mars, il faut que sans remise J'achève ici mon entreprise ; J'ai les dents du dragon, et je vais les semer."")","('#les-deux-conducteurs #choeur-des-chalybes', ""Que le feu des forges s'allume : Travaillons d'un effort nouveau : Qu'on fasse retentir l'enclume Sous les coups pesants du marteau. Entrée des forgerons."")",0.97,Substitution
280,"('#arbas', ""Ce sont des ennemis que vous verrez former : Tant de soldats armés vont naître, Que vous serez d'abord accablé de leurs coups ; Et vous ne songez pas, peut-être, Que vous n'avez ici que moi seul avec vous."")","('#io', ""Quel déluge de feux vient sur moi se répandre. Ô ciel ! Les chalybes passent auprès d'Io avec des morceaux d'épées, de lances et de haches à demi forgées."")",0.88,Substitution
281,,"('#la-furie', ""Le ciel ne peut t'entendre, Tu ne te plains pas assez haut."")",1.0,Deletion
282,,"('#les-deux-conducteurs #le-choeur-des-chalybes', 'Tôt, tôt, tôt.')",1.0,Deletion
283,"('#cadmus', ""Je ne veux exposer personne Au péril où je m'abandonne ; Je dois combattre seul, et ne retiens que toi : Tu connais mon amour, je suis sûr de ta foi, Je veux bien que tu sois le dernier qui me quitte."")","('#io', 'Junon serait moins inhumaine.  Tu me fais trop souffrir, tu sers trop bien sa haine.')",1.06,Substitution
284,"('#arbas', ""Seigneur, vous m'honnorez plus que je ne mérite :"")",,1.0,Insertion
285,"('#cadmus', ""Si je ne fais qu'un vain effort, Accompli ce que je t'ordonne : Sitôt que tu sauras ma mort, Hâtes-toi de voir Hermione : Va, porte-lui mes derniers voeux. Qu'elle vive, il suffit de plaindre un malheureux : Qu'elle ait soin de garder le souvenir fidèle D'une flamme si belle ; C'est l'unique prix que je veux De ce que j'aurai fait pour elle. Je ne prétends plus t'arrêter. Laisse-moi."")","('#la-furie', 'Au gré de son dépit jaloux Les maux les plus cruels seront encore trop doux.')",0.83,Substitution
286,"('#arbas', 'Faut-il vous quitter ?')",,1.0,Insertion
287,"('#cadmus', 'Je le veux : obéis.')",,1.0,Insertion
288,"('#arbas', 'Ah ! Quelle violence, Seigneur exigez-vous de mon obéissance.')","('#io', ""Hélas ! Quelle rigueur extrême C'est en vain que Jupiter m'aime La haine de Junon jouit de mon tourment Que vous haïssez fortement, Grand Dieux ! Qu'il s'en faut bien que vous aimiez de même !"")",0.7,Substitution
289,"('#l-amour', ""Cadmus reçoit le don que je viens t'apporter ! C'est l'ouvrage du Dieu qui forge le tonnerre ; Ne manque pas de le jeter ; Il faut faire voir en ce jour Ce que peut un grand coeur secondé par l'Amour. Achève le dessein où mon ardeur t'engage."")","('#conducteurs #choeurs-chalybes', ""Qu'on prépare tout ce qu'il faut  Tôt, tôt, tôt, tôt, tôt. Les feux des forges redoublent et les Chabyles environnent Io avec des morceaux d'acier rouges et brûlants."")",0.77,Substitution
290,"('#cadmus', 'Je te vais obéir dans tarder davantage.')","('#io', 'Ne pourrai-je cesse de vivre ? Cherchons le trépas dans les flots.')",1.28,Substitution
291,"('#l-amour #cadmus', ""Il faut faire voir en ce jour Ce que peut un grand coeur secondé par l'Amour. L'Amour s'envole, et Cadmus sème les dents du Dragon, dont la terre produit des soldats armés qui se préparent d'abord à tourner leurs armes contre Cadmus, mais il jette au milieu d'eux une manière de grenade, que l'Amour lui a apporté, qui se brise en plusieurs éclats, et qui inspire aux combattants une fureur qui les oblige à combattre les uns contre les autres, et à s'entregorger eux-mêmes. Huit soldats armés nés de la Terre. Les cinq derniers qui demeurent vivants, viennent apporter leurs armes aux pieds de Cadmus. "")","('#la-furie', ""Partout ma rage doit te suivre N'attends ni secours ni repos. Io fuit et monte au haut d'un rocher d'où elle se précipite dans la mer. La Furie s'y jette après la Nymphe."")",0.7,Substitution
292,,"('#choeur-chalybes', ""Qu'on prépare tout ce qu'il faut  Tôt tôt tôt."")",1.0,Deletion
293,"('#echion', 'Arrêtons un transport funeste ; Pourquoi nous immoler en naissant dans ces lieux ? Réservons le sang qui nous reste, Pour servir un héros favorisé des Dieux.')","('#choeur-de-la-suite-des-parques', ""Exécutons l'arrêt du sort Suivons ses lois les plus cruelles. Présentons sans cesse à la Mort Des victimes nouvelles"")",0.55,Substitution
294,,"('#la-guerre', 'Que le fer.')",1.0,Deletion
295,,"('#la-famine', 'Que la faim.')",1.0,Deletion
296,,"('#l-incendie', 'Que les feux')",1.0,Deletion
297,,"('#l-inondation', 'Que les eaux.')",1.0,Deletion
298,,"('#ensemble', 'Que tout serve à creuser mille et mille tombeaux')",1.0,Deletion
299,,"('#les-maladies-violentes', ""Qu'on s'empresse d'entrer dans les royaumes sombres par mille chemins différents"")",1.0,Deletion
300,"('#cadmus', ""Allez : que dans ces murs chacun de vous s'empresse De rendre hommage à la princesse Qui doit donner ici des ordres absolus ; Vos premiers respects lui sont dûs, Je vous suivrai de près, c'est ma plus douce envie. Cherchons nos tiriens, ils tremblent pour ma vie.  Allons les rassurer, voyons de toutes parts. Les combattants obéissent à Cadmus qui demeure pour chercher et pour rassembler les tyriens. "")","('#les-maladies-languissantes', ""Achevez d'expirer, infortunés mourants, Cherchez un long repos dans le séjour des ombres."")",1.04,Substitution
301,"('#le-geant', ""Non, ce n'est point assez d'avoir satisfait Mars : Tu vois un ennemi qu'il faut encore abbattre, Au lieu de triompher recommence à combattre."")","('#le-choeur', ""Exécutons l'arrêt du Sort, Suivons ses lois les plus cruelles ; Présentons sans cesse à la Mort Des victimes nouvelles."")",0.78,Substitution
302,,"('#la-guerre', 'Que le fer.')",1.0,Deletion
303,"('#cadmus', 'Combattons.')","('#la-famine', 'Que la faim.')",1.3,Substitution
304,,"('#l-incendie', 'Que les feux')",1.0,Deletion
305,,"('#l-inondation', 'Que les eaux.')",1.0,Deletion
306,,"('#tous-ensemble', 'Que tout serve à creuse mille et mille tombeaux.')",1.0,Deletion
307,"('#le-geant', ""J'ai pitié du péril que tu cours : Il m'est honteux de vaincre avec tant d'avantage, Va, fuir, et cède moi l'objet de nos amours. Tu n'auras plus de Dieux qui défendent tes jours."")","('#io', ""C'est contre moi qu'il faut tourner Votre rigueur la plus funeste, D'une vie odieuse arrachez moi le reste Hâtez vous de la terminer."")",0.78,Substitution
308,"('#cadmus', ""Les dieux m'ont donné du courgae, Et c'est un assez grand secours."")",,1.0,Insertion
309,"('#le-geant', ""Voyons s'il n'est rien qui t'étonne."")",,1.0,Insertion
310,"('#le-geant', ""Qu'on vienne à moi, qu'on l'environne ! Qu'on le perce de tous côtés !"")","('#choeur #suite-des-parques', ""C'est aux Parques de l'ordonner."")",1.23,Substitution
311,"('#pallas', 'Cadmus fermez les yeux. Perfides arrêtez. Pallas découvre son bouclier et le présente aux yeux des quatre géants, qui demeurent immobiles et deviennent dans un instant quatre statues de pierre.')","('#io', 'Favorisez mes voeux, Déesses souveraines Qui réglez du Destin immuables lois, Finissez mes jours et mes peines,  Ne me condamnez pas à mourir mille fois.')",1.07,Substitution
312,"('#pallas', 'Vois, Cadmus, vois quel supplice A puni leur injustice.')","('#les-parques', 'Le fil de la vie  De tous les humains Suivant notre envie Tourne dans nos mains. Suivant notre envie.')",1.53,Substitution
313,"('#cadmus', 'Que vois-je ! Les géants armés Ne sont plus des corps animés.')",,1.0,Insertion
314,"('#pallas', ""Je t'ai promis mon assistance, Je vais te préparer un superbe Palais : Je veux joindre aux douceurs d'un hymen plein d'attraits, L'éclat, et la magnificence. Goûte en paix un sort glorieux. Va, n'écoute plus rien que l'amour qui t'anime ; Hermione vient dans ces lieux."")","('#io', ""Tranchez mon triste sort d'un coup qui me délivre  Des tourments que Junon me contraint à souffrir; Chacun vous fait des voeux pour vivre Et je vous en fais pour mourir."")",0.83,Substitution
315,"('#cadmus', ""Par quel remerciement faut-il que je m'exprime ?"")",,1.0,Insertion
316,"('#pallas', ""Protéger la vertu d'un prince magnanime, C'est le plus doux emploi des Dieux."")","('#la-furie', ""Jupiter l'a soumise aux lois de son épouse ; Elle a rendu Junon jalouse; L'amour d'un Dieu puissant a trop su la charme. Elle est trop punie encore."")",0.83,Substitution
317,"('#cadmus', 'Ma princesse !')",,1.0,Insertion
318,"('#hermione', 'Cadmus !')",,1.0,Insertion
319,"('#cadmus', 'Quel bonheur !')","('#io', ""Est ce si grand crime d'aimer Ce que tout l'Univers adore ?"")",1.22,Substitution
320,"('#hermione', 'Quelle gloire !')","('#les-parques', ""Nymphe, apaise Junon si tu veux voir la fin  De ton sort déplorable ; C'est l'arrêt du Destin  Il est irrévocable."")",1.68,Substitution
321,"('#cadmus', 'Je vous vois libre enfin !')",,1.0,Insertion
322,"('#hermione', 'Je vous revois vainqueur ?')","('#io', 'Hélas ! comment fléchir une haine implacable !')",1.88,Substitution
323,"('#hermione', 'Quelle favorable victoire !')","('#parques #furie #choeur', ""C'est l'arrêt du Destin, Il est irrévocable."")",1.68,Substitution
324,"('#hermione', ""Qu'elle a coûté cher à mon coeur !"")",,1.0,Insertion
325,"('#cadmus', ""Que c'est un charmant avantage Que de pouvoir sauver d'un cruel esclavage La beauté dont on est charmé !"")","('#io', ""Terminez mes tourments, puissant maître du monde, Sans vous, sans votre amour hélas ! Je ne souffrirais pas. Réduite au désespoir, mourante, vagabonde, J'ai porté mon supplice en mille affreux climats ; Une horrible Furie attachée à mes pas, M'a suivie au travers du vaste sein de l'onde; Voyez de quels maux ici bas, Votre épouse punit mes malheureux appas Délivrez moi de ma douleur profonde, Ouvrez-moi par pitié, les portes du trépas. Terminez mes tourments puissant maître du monde. Sans vous, sans votre amour, hélas ! Je ne souffrirais pas. C'est Jupiter qui m'aime ! Eh ! Qui le pourrait croire ? Je ne suis plus dans sa mémoire, Il n'entend point mes cris, Il ne voit point mes pleurs Après m'avoir livré aux plus cruels malheurs,  Il est tranquille au comble de la gloire Il m'abandonne au milieu des douleurs. À la fin je succombe heureuse si je meurs. Io tombe accablée de ses tourments, et Jupiter touché de piété, descend du ciel."")",0.73,Substitution
326,"('#hermione', ""Que c'est un sort digne d'envie Que de pouvoir tenir le bonheur de sa vie, De la main d'un vainqueur aimé !"")","('#jupiter', ""Il ne m'est pas permis de finir votre peine Et ma puissance souveraine Doit suivre du Destin l'irrévocable loi : C'est tout ce que je puis par un amour extrême Que de quitter le Ciel et ma gloire suprême Pour prendre part aux maux que vous souffrez pour moi."")",0.63,Substitution
327,"('#hermione #cadmus', 'Après des rigueurs inhumaines, Le ciel favorise nos voeux ; Ah ! Que le souvenir des peines Est doux quand on devient heureux.')","('#io', 'Ah ! mon supplice augmente encore ! Tout le feu des Enfers me brûle et me dévore; Mourrai-je tant de fois, sans voir finir mon sort ?')",1.19,Substitution
328,"('#cadmus', ""Dieux ! Je ne vois plus Hermione ! Quel nuage épais l'environne ! Un nuage s'élève de la Terre qui enveloppe Hermione."")",,1.0,Insertion
329,"('#junon', ""Tu vois l'effet de mon courroux, Il faut combattre encore Junon et sa puissance. Le soin que prend pour toi mon infidèle époux Attire sur tes feux l'éclat de ma vengeance. Iris, détruis l'espoir de cet audacieux ! Enlève sur ton arc Hermione à ses yeux. Exécute à l'instant ce que Junon t'ordonne."")","('#jupiter', 'Ma tendresse pour vous rend Junon inflexible Elle voit mon amour il lui paraît trop fort; Son courroux se redouble et devient invincible.')",0.23,Substitution
330,"('#hermione', 'Ô Ciel !')","('#io', ""N'importe en ma faveur soyez toujours sensible."")",1.95,Substitution
331,"('#tous-ensemble', 'Ô Ciel, ô ciel ! Hermione, Hermione.')",,1.0,Insertion
332,"('#cadmus', ""Belle Hermione, hélas, puis-je être heureux sans vous ? Que sert dans ce palais la pompe qu'on prépare ? Tout espoir est perdu pour nous ? Le bonheur d'un amour si fidèle, et si rare, Jusques entre les Dieux a trouvé des jaloux. Belle Hermione, hélas, puis-je être heureux sans vous ? Nous nous étions flattés que notre sort barbare Avait épuisé son courroux : Quelle rigueur quand on sépare Deux coeurs prêts d'être unis par des Liens si doux ? Belle Hermione, hélas, puis-je être heureux sans vous."")","('#jupiter', ""C'est trop vous exposer à son jaloux transport, J'irrite en vous aimant sa vengeance terrible."")",0.33,Substitution
333,"('#pallas', ""Tes voeux vont être satisfaits ; Jupiter et Junon ont fini leur querelle, L'Amour lui-même a fait leur paix ; Ton Hermione enfin descend dans ce palais, Des Dieux s'avancent avec elle ; Le Ciel veut que ce jour soit célébré à jamais."")",,1.0,Insertion
334,"('#jupiter', ""Que ce qui suit les lois du Maître du tonnerre, Que les Cieux, et la Terre, S'accordent pour combler vos voeux. Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux."")","('#io', ""Aimez moi, s'il vous est possible Assez pour la forcer à me donner la mort. Junon descend sur la terre."")",0.85,Substitution
