,quinault-comedie-sans-comedie,quinault-docteur-de-verre,Cost,Operation Type
327,"('#marine', ""Le peu de soin que tu prends de m'écrire ne m'empêche pas d'être encore sensible à l'amour des vertus, l'obéissance est celle qui sur toutes me plaît, la moins heureuse entre les filles est celle qui n'a point de parents qui aiment le bien ; on me presse d'épouser un vieux Docteur, en vain j'ai promis de n'y consentir jamais, sans plus songer à ma promesse, il faut que je satisfasse mon père, tâche par des remontrances de me faire accepter ce vieil amant que je ne hais point, sans raison ceux qui m'aiment se feront connaître s'ils s'opposent à ce mariage. "")","('#marine', ""Le peu de soin que tu prends de m'écrire ne m'empêche pas d'être encore sensible à l'amour des vertus. L'obéissance est celle qui, sur toutes, me plaît.  La moins heureuse entre filles est celle qui n'a point de parents qui aiment le bien.  On me presse d'épouser un vieux Docteur : en vain j'ai promis de n'y consentir jamais sans songer à ma promesse, il faut que je satisfasse mon père.  Tâche, par des remontrances, de me faire accepter ce vieil amant que je ne hais point : sans raison ceux qui m'aiment se feront connaître, s'ils s'opposent à ce mariage."")",0.0,Match
328,"('#panfile', 'Dieux sans changer un mot comment se peut-il faire, Que ce sens se rencontre au premier si contraire ?')","('#panfile', 'Dieux sans changer un mot, comment se peut-il faire Que ce sens se rencontre au premier si contraire ?')",0.0,Match
329,"('#marine', ""Hé bien n'aviez-vous pas l'esprit préoccupé !"")","('#marine', ""Hé bien ! N'aviez-vous pas l'esprit préoccupé ?"")",0.0,Match
330,"('#panfile', ""Les points qui sont omis, doivent m'avoir trompé, Les filles de ce temps estiment ridicules Celles dont les écrits sont remplis de virgules."")","('#panfile', ""Les points qui sont omis doivent m'avoir trompé : Les filles de ce temps estiment ridicules Celles dont les écrits sont remplis de virgules."")",0.0,Match
331,"('#marine', ""Votre humeur fort sujette aux paniques terreurs, Est le défaut qui seul a causé vos erreurs : Je vous l'avais bien dit, votre fille est bien née, Vous m'avez fait injure et l'avez soupçonnée ; J'en crève de dépit."")","('#marine', ""Votre humeur, fort sujette aux paniques terreurs, Est le défaut qui seul a causé vos erreurs. Je vous l'avais bien dit : votre fille est bien née. Vous m'avez fait injure, et l'avez soupçonnée ; J'en crève de dépit."")",0.0,Match
332,"('#panfile', 'Marine excuse-moi, Je jure de jamais ne douter de ta foi.')","('#panfile', 'Marine, excuse-moi. Je jure de jamais ne douter de ta foi.')",0.0,Match
333,"('#marine', 'Vous avez eu grand tort !')","('#marine', 'Vous avez eu grand tort.')",0.0,Match
334,"('#panfile', 'Oui je te le confesse.')","('#panfile', 'Oui, je te le confesse.')",0.0,Match
335,"('#marine', 'Rendez-moi mon billet Monsieur, le temps me presse !')","('#marine', 'Rendez-moi mon billet, Monsieur le temps me presse.')",0.0,Match
336,"('#panfile', 'Je le ferai tenir.')","('#panfile', 'Je le ferai tenir.')",0.0,Match
337,"('#marine', ""Il n'en n'est pas besoin."")","('#marine', ""Il n'en est pas besoin."")",0.0,Match
338,"('#panfile', ""Va, quelqu'un de mes gens t'épargnera ce soin. Et pour mieux employer ton temps et ton adresse, À l'hymen du Docteur dispose ta maîtresse."")","('#panfile', ""Va, quelqu'un de mes gens t'épargnera ce soin Et, pour mieux employer ton temps et ton adresse, À l'hymen du Docteur dispose ta maîtresse."")",0.0,Match
339,"('#marine', 'Mais la presserez-vous ?')","('#marine', 'Mais la presserez-vous ?')",0.0,Match
340,"('#panfile', ""Oui, dis-lui de ma part Qu'il le faut épouser dès demain au plus tard."")","('#panfile', ""Oui, dis-lui de ma part, Qu'il le faut épouser dès demain, au plus tard."")",0.0,Match
341,"('#marine', ""Je crains fort d'aborder ma maîtresse Isabelle, Je serai mal reçue avec cette nouvelle."")","('#marine', ""Je crains fort d'aborder ma maîtresse Isabelle Je serai mal reçue avec cette nouvelle."")",0.0,Match
342,"('#isabelle', 'Si mon Père est levé, donnons-lui le bonjour, Sortons ; mais quoi Marine est déjà de retour ?')","('#isabelle', 'Si mon père est levé, donnons-lui le bonjour. Sortons. Mais, quoi Marine est déjà de retour ?')",0.0,Match
343,"('#marine', ""Loin d'être de retour, je ne suis pas sortie, Notre vieux radouteux a rompu la partie."")","('#marine', ""Loin d'être de retour, je ne suis pas sortie : Notre vieux radoteur a rompu la partie."")",0.0,Match
344,"('#isabelle', ""Qu'as-tu fait du billet ?"")","('#isabelle', ""Qu'as-tu fait du billet ?"")",0.0,Match
345,"('#marine', ""Par force il me l'a pris ; Mais grâces au secret que vous m'avez appris, J'en ai changé le sens quand il me l'a fait lire."")","('#marine', ""Par force il me l'a pris ; Mais, grâces au secret que vous m'avez appris, J'en ai changé le sens, quand il me l'a fait lire."")",0.0,Match
346,"('#isabelle', 'Ce succès me ravit.')","('#isabelle', 'Ce succès me ravit.')",0.0,Match
347,"('#marine', ""Il n'est pas temps [de] rire ? Pour l'hymen du Docteur soyez prête à demain, C'est l'ordre du vieillard."")","('#marine', ""Il n'est pas temps de rire : Pour l'hymen du Docteur soyez prête à demain ; C'est l'ordre du vieillard."")",0.0,Match
348,"('#isabelle', ""C'est un ordre inhumain : Encor si je pouvais en avertir Tersandre !"")","('#isabelle', ""C'est un ordre inhumain. Encor si je pouvais en avertir Tersandre !"")",0.0,Match
349,"('#marine', ""Et quand il le saurait, qu'en pourriez-vous attendre ? Par le soin d'un amant on juge de son feu, Et puisqu'il vous néglige, il doit vous aimer peu."")","('#marine', ""Et quand il le saurait, qu'en pourriez-vous attendre ? Par le soin d'un amant on juge de son feu, Et puisqu'il vous néglige, il doit vous aimer peu."")",0.0,Match
350,"('#isabelle', ""Marine, à dire vrai, j'ai sujet d'être en doute !"")","('#isabelle', ""Marine, à dire vrai, j'ai sujet d'être en doute."")",0.0,Match
351,"('#marine', 'Parlons bas, certain cuistre approche et nous écoute.')","('#marine', 'Parlons bas : certain cuistre approche et nous écoute.')",0.0,Match
352,"('#isabelle', 'Que cherchez-vous ?')","('#isabelle', 'Que cherchez-vous ?')",0.0,Match
353,"('#tersandre', ""Beauté qui pouvez tout toucher, Ayant l'heur de vous voir je n'ai rien à chercher ! Le Docteur qui pour vous sent des peines mortelles M'envoie avecque soin savoir de vos nouvelles, Et vous souhaite un jour plus heureux et plus doux Que celui que l'amour lui prépare pour vous."")","('#tersandre', ""Beauté, qui pouvez tout toucher, Ayant l'heur de vous voir, je n'ai rien à chercher. Le Docteur qui pour vous sent des peines mortelles, M'envoie, avecque soin, savoir de vos nouvelles, Et vous souhaite un jour plus heureux et plus doux Que celui que l'amour lui prépare pour vous."")",0.0,Match
354,"('#marine', ""Pour un cuistre à mon gré ce n'est pas mal l'entendre."")","('#marine', ""Pour un cuistre, à mon gré, ce n'est pas mal l'entendre."")",0.0,Match
355,"('#isabelle', 'Ou mes yeux sont déçus, ou je crois voir Tersandre.')","('#isabelle', 'Ou mes yeux sont déçus, ou je crois voir Tersandre.')",0.0,Match
356,"('#tersandre', 'Vos beaux yeux sont toujours des témoins assurés, Et pour être déçus ils sont trop éclairés.')","('#tersandre', 'Vos beaux yeux sont toujours des témoins assurés ; Et, pour être déçus, ils sont trop éclairés.')",0.0,Match
357,"('#isabelle', ""Vous deviez m'avertir Tersandre : et sans rien feindre, De votre peu de soin j'ai sujet de me plaindre, Je vous ai soupçonné de quelque changement."")","('#isabelle', ""Vous deviez m'avertir, Tersandre; et, sans rien feindre, De votre peu de soin j'ai sujet de me plaindre : Je vous ai soupçonné de quelque changement."")",0.0,Match
358,"('#tersandre', ""Si j'ai changé pour vous, c'est d'habit seulement, Et l'Amour n'eut jamais, ô Beauté qui m'enflamme Causé ce changement s'il eût changé mon âme ; Sachant que le Docteur qui brûle de vos feux, À ses anciens valets en voulait joindre deux : Avec un de mes gens par d'heureuses pratiques, J'ai su rencontrer place entre ses domestiques."")","('#tersandre', ""Si j'ai changé pour vous, c'est d'habit seulement ; Et l'Amour n'eut jamais, ô Beauté qui m'enflamme, Causé ce changement, s'il eut changé mon âme. Sachant que le Docteur, qui brûle de vos feux, À ses anciens valets en voulait joindre deux, Avec un de mes gens, par d'heureuses pratiques, J'ai su rencontrer place entre ses domestiques."")",0.0,Match
359,"('#isabelle', 'Un tel succès plutôt me devait être appris.')","('#isabelle', 'Un tel succès plus tôt me devait être appris.')",0.0,Match
360,"('#tersandre', ""J'ai craint qu'en écrivant l'avis ne fut surpris. Le Docteur m'a d'abord mis dans sa confidence, Et le trouvant d'humeur propre à la défiance, J'ai troublé son esprit par un puissant soupçon ; Mais voici votre père ; il faut changer de ton."")","('#tersandre', ""J'ai craint qu'en écrivant l'avis ne fut surpris. Le Docteur m'a d'abord mis dans sa confidence ; Et, le trouvant d'humeur propre à la défiance, J'ai troublé son esprit par un puissant soupçon. Mais voici votre père ; il faut changer de ton."")",0.0,Match
361,"('#panfile', ""Pleurez ! Pleurez ma fille, en revenant du Temple On m'a dit un malheur qui n'eut jamais d'exemple ! Le Docteur perd pour vous l'honneur de ses vieux ans, Il a pris tant d'amour qu'il a perdu le sens : Il est frénésie et dans cette disgrâce, Soutient qu'il est de verre et craint qu'on ne le casse ; Mais quel est ce valet, qui ne m'est pas connu ?"")","('#panfile', ""Pleurez, pleurez, ma fille en revenant du Temple, On m'a dit un malheur qui n'eut jamais d'exemple. Le Docteur perd pour vous l'honneur de ses vieux ans, Il a pris tant d'amour qu'il a perdu le sens ; Il est en frénésie, et, dans cette disgrâce, Soutient qu'il est de verre, et craint qu'on ne le casse. Mais quel est ce valet, qui ne m'est pas connu ?"")",0.0,Match
362,"('#isabelle', 'De la part du Docteur il est ici venu.')","('#isabelle', 'De la part du Docteur il est ici venu.')",0.0,Match
363,"('#tersandre', ""Si je suis moniteur du morbe qui l'attaque Votre gener futur est hypocondriaque, Son esprit qu'Olympique on pouvait nominer, N'a plus la faculté de ratiociner."")","('#tersandre', ""Si je suis moniteur du morbe qui l'attaque, Votre gêner futur est hypocondriaque ; Son esprit, qu'olympique on pouvait nominer, N'a plus la faculté de ratiociner."")",0.0,Match
364,"('#marine', 'Quel diantre de jargon !')","('#marine', 'Quel diantre de jargon !')",0.0,Match
365,"('#panfile', ""Sotte te veux-tu taire ? C'est ainsi qu'au collège on parle d'ordinaire : Je plains fort votre maître et l'irai visiter."")","('#panfile', ""Sotte ! Te veux-tu taire ! C'est ainsi qu'au Collège on parle d'ordinaire. Je plains fort votre maître, et l'irai visiter."")",0.0,Match
366,"('#tersandre', 'Plutôt dans votre dôme il le faut expecter, Avant que de Phoebus le Globe vivifique Soit prêt de perficer son cours hémisphérique, Malgré de son esprit la perturbation On fera de son corps ici translation.')","('#tersandre', 'Plutôt dans votre dôme il le faut expecter Avant que de Phoebus le globe vivifique Soit près de persicer son cours hémisphérique, Malgré de son esprit la perturbation, On fera de son corps ici translation.')",0.0,Match
367,"('#panfile', 'Mais quel est ce garçon ?')","('#panfile', 'Mais quel est ce garçon ?')",0.0,Match
368,"('#tersandre', ""C'est mon collègue intime, Dedans le famulat du Docteur clarissime."")","('#tersandre', ""C'est mon collègue intime, Dedans le famulat du Docteur clarissime."")",0.0,Match
369,"('#panfile', 'Hé bien le Docteur...')","('#panfile', 'Hé bien ? Le Docteur...')",0.0,Match
370,"('#ragotin', 'Vient.')","('#ragotin', 'Vient.')",0.0,Match
371,"('#panfile', 'Extravague-t-il ?')","('#panfile', 'Extravague-t-il ?')",0.0,Match
372,"('#ragotin', 'Fort.')","('#ragotin', 'Fort.')",0.0,Match
373,"('#panfile', 'Mais quel est son mal ?')","('#panfile', 'Mais quel est son mal ?')",0.0,Match
374,"('#ragotin', 'Grand.')","('#ragotin', 'Grand.')",0.0,Match
375,"('#panfile', ""Qu'en doit-on craindre ?"")","('#panfile', ""Qu'en doit-on craindre ?"")",0.0,Match
376,"('#ragotin', 'Mort.')","('#ragotin', 'Mort.')",0.0,Match
377,"('#panfile', 'Quel discours !')","('#panfile', 'Quel discours !')",0.0,Match
378,"('#tersandre', 'La Formule en est fort ancienne, Jadis on la vocait Lacédémonienne.')","('#tersandre', 'La formule en est fort ancienne Jadis on la vocoit Lacédémoniome.')",0.0,Match
379,"('#marine', 'De tous les deux le bonhomme est dupé comme il faut.')","('#marine', 'De tous deux le bonhomme est dupé comme il faut.')",0.0,Match
380,"('#panfile', 'Où ton Maître est-il ?')","('#panfile', 'Où ton maître est-il ?')",0.0,Match
381,"('#ragotin', 'Près.')","('#ragotin', 'Près.')",0.0,Match
382,"('#panfile', 'Quand le verrons-nous ?')","('#panfile', 'Quand le verrons-nous ?')",0.0,Match
383,"('#ragotin', 'Tôt.')","('#ragotin', 'Tôt.')",0.0,Match
384,"('#panfile', ""Qu'entends-je monter ?"")","('#panfile', ""Qu'entends-je monter ?"")",0.0,Match
385,"('#ragotin', 'Lui.')","('#ragotin', 'Lui.')",0.0,Match
386,"('#marine', ""Je pense qu'il se raille, Il vient dans un panier enveloppé de paille ?"")","('#marine', ""Je pense qu'il se raille : Il vient dans un panier enveloppé de paille."")",0.0,Match
387,"('#le-docteur', ""Future épouse et vous beau-père proposé, Sachez que tout mon corps est métamorphosé. Que je suis à présent de l'ultime matière, Où se peut transmuer chaque corps sublunaire : Et qu'Amour dont toujours je me suis défié, M'a mis à si grand feu qu'il m'a vitrifié."")","('#le-docteur', ""Future épouse, et vous, beau-père proposé, Sachez que tout mon corps est métamorphosé ; Que je suis, à présent, de l'ultime matière Où se peut transmuer chaque corps sublunaire, Et qu'Amour, dont toujours je me suis défié, M'a mis à si grand feu qu'il m'a vitrifié."")",0.0,Match
388,"('#panfile', ""Vous n'êtes point de verre en vain vous nous le dites, Il n'en est rien."")","('#panfile', ""Vous n'êtes point de verre ; en vain vous nous le dites : Il n'en est rien."")",0.0,Match
389,"('#le-docteur', 'Vos yeux sont donc hétéroclites.')","('#le-docteur', 'Vos yeux sont donc hétéroclites ?')",0.0,Match
390,"('#panfile', 'Mais vous parlez encor ?')","('#panfile', 'Mais vous parlez encor ?')",0.0,Match
391,"('#le-docteur', ""Mes accents sont formés Par des esprits mouvants dans ce verre enfermés, Mon corps est résonnant, mais comme il est fort frêle Mes esprits s'enfuiront pour peu que l'on me fêle."")","('#le-docteur', ""Mes accents sont formés Par des esprits mouvants dans ce verre enfermés : Mon corps est résonnant ; mais, comme il est fort frêle, Mes esprits s'enfuiront pour peu que t'en me fêle."")",0.0,Match
392,"('#panfile', ""Pour vous tirer d'erreur je veux vous embrasser !"")","('#panfile', ""Pour vous tirer d'erreur je veux vous embrasser."")",0.0,Match
393,"('#le-docteur', 'Ah gardez-vous-en bien, ce serait me casser !')","('#le-docteur', 'Ah ! Gardez-vous-en bien ! Ce serait me casser.')",0.0,Match
394,"('#panfile', ""Souffrez qu'on vous détrompe !"")","('#panfile', ""Souffrez qu'on vous détrompe."")",0.0,Match
395,"('#le-docteur', ""Il n'est pas nécessaire, De ma fragilité durissime adversaire."")","('#le-docteur', ""Il n'est pas nécessaire, De ma fragilité durissime adversaire."")",0.0,Match
396,"('#panfile', 'Voyez...')","('#panfile', 'Voyez...')",0.0,Match
397,"('#le-docteur', ""Ah par le flanc il vient de me fêler ! L'humide radical par là va s'écouler."")","('#le-docteur', ""Ah ! Par le flanc il vient de me fêler ; L'humide radical par là va s'écouler."")",0.0,Match
398,"('#panfile', ""Mais vous n'êtes pas bien."")","('#panfile', ""Mais vous n'êtes pas bien."")",0.0,Match
399,"('#le-docteur', 'Je suis le mieux du monde.')","('#le-docteur', 'Je suis le mieux du monde.')",0.0,Match
400,"('#panfile', 'Sortez.')","('#panfile', 'Sortez.')",0.0,Match
401,"('#le-docteur', 'Ah que plutôt Jupiter vous confonde.')","('#le-docteur', 'Ah ! Que plutôt Jupiter vous confonde !')",0.0,Match
402,"('#panfile', 'Laissez-moi faire.')","('#panfile', 'Laissez-moi faire.')",0.0,Match
403,"('#le-docteur', ""Hé quoi barbon pernicieux ! Si j'étais en morceaux en seriez-vous bien mieux ?"")","('#le-docteur', ""Hé, quoi ! Barbon pernicieux, Si j'étais en morceaux, en seriez-vous bien mieux ?"")",0.0,Match
404,"('#panfile', 'Mais Monsieur le Docteur !')","('#panfile', 'Mais, Monsieur le Docteur.')",0.0,Match
405,"('#le-docteur', ""Mais Monsieur mon beau-père ! N'approchez point de moi, vous ne sauriez mieux faire, Je suis déjà fêlé que voulez-vous de plus ?"")","('#le-docteur', ""Mais, Monsieur mon beau-père, N'approchez point de moi, vous ne sauriez mieux faire. Je suis déjà fêlé ; que voulez-vous de plus ?"")",0.0,Match
406,"('#panfile', ""Je veux guérir l'erreur dont vos sens sont déçus."")","('#panfile', ""Je veux guérir l'erreur dont vos sens sont déçus."")",0.0,Match
407,"('#le-docteur', ""Peste comme il me serre, ah le traître me brise ! Bourreau gendrifracteur apprends que j'agonise ! Il s'évanouit."")","('#le-docteur', ""Peste ! Comme il me serre ! Ah, le traître me brise ! Bourreau, gendrifracteur, apprends que j'agonise ! Il s'évanouit."")",0.0,Match
408,"('#tersandre', 'Dominé, dominé, procrastinez vos ans.')","('#tersandre', 'Dominé, Dominé, procrastinez vos ans.')",0.0,Match
409,"('#panfile', ""Qu'on apporte de l'eau pour rappeler ses sens, Son pouls qui meut encor fait voir qu'il reste en vie, Et que sa pamoison sera bientôt finie. Il reprend ses esprits de faiblesse accablés, Ses pas sont chancelants et ses regards troublés."")","('#panfile', ""Qu'on apporte de l'eau pour rappeler ses sens ! Son pouls qui meut encor fait voir qu'il reste en vie, Et que sa pâmoison sera bientôt finie. Il reprend ses esprits de faiblesse accablés ; Ses pas sont chancelants, et ses regards troublés."")",0.0,Match
410,"('#le-docteur', ""Mon Esprit spolié de son fourreau de verre, Se voit donc translaté dans l'infernale Terre : J'ai traité déjà le cocyte bourbeux, Et voici de Pluton le Palais ténébreux."")","('#le-docteur', ""Mon esprit, spolié de son fourreau de verre, Se voit donc translaté dans l'infernale terre J'ai trajeté déjà le Cocyte bourbeux, Et voici de Pluton le palais ténébreux."")",0.0,Match
411,"('#tersandre', 'Il croit être appulsé dans le règne des ombres.')","('#tersandre', 'Il croit être appulsé dans le règne des Ombres.')",0.0,Match
412,"('#le-docteur', ""Bons Dieux que cette plage étale d'objets sombres : Je n'incide partout que Larves, Diablotins, Follets, Ténébrions, Farfadets et Lutins. Bon, je cerne déjà Tantale enfanticide. La peste comme il baille, et comme il mâche à vide ! Que j'aime à l'aspicer, voulant gober souvent, Des fruits près de son nez ne gober que du vent ; Mâcheur infortuné qui n'a ni bien ni joie, Du séjour de Pluton enseigne-moi la voie : Quel est le chemin ? Il s'adresse à Ragotin."")","('#le-docteur', ""Bons Dieux ! Que cette plage étale d'objets sombres ! Je n'incide partout que Larves, Diablotins, Follets, Ténébrions, Farfadets et Lutins. Bon ! Je cerne déjà Tantale enfanticide. La peste ! Comme il bâille, et comme il mache à vide ! Que j'aime à l'aspicer, voulant gober souvent Des fruits près de son nez, ne gober que du vent ! Macheur infortuné, qui n'a ni bien ni joie, Du séjour de Pluton enseigne-moi la voie ? Quel est le chemin ?  Il s'adresse à Ragotin."")",0.0,Match
413,"('#ragotin', 'Long.')","('#ragotin', 'Long.')",0.0,Match
414,"('#le-docteur', 'Que me diras-tu ?')","('#le-docteur', 'Que me diras-tu ?')",0.0,Match
415,"('#ragotin', 'Rien.')","('#ragotin', 'Rien.')",0.0,Match
416,"('#le-docteur', 'Me veux-tu du mal ?')","('#le-docteur', 'Me veux-tu du mal ?')",0.0,Match
417,"('#ragotin', 'Nul.')","('#ragotin', 'Nul.')",0.0,Match
418,"('#le-docteur', 'Mais me connais-tu ?')","('#le-docteur', 'Mais me connais-tu ?')",0.0,Match
419,"('#ragotin', 'Bien.')","('#ragotin', 'Bien.')",0.0,Match
420,"('#le-docteur', ""Que m'estimes-tu ?"")","('#le-docteur', ""Que m'estimes-tu ?"")",0.0,Match
421,"('#ragotin', 'Fol.')","('#ragotin', 'Fol.')",0.0,Match
422,"('#le-docteur', 'Comment âme damnée, Ma sagesse par toi sera contaminée ! Et tu me répondras monosyllablement, Je te vais bien docer à jaser autrement.')","('#le-docteur', 'Comment, âme damnée, Ma sagesse par toi sera contaminée, Et tu me répondras monosyllabement ! Je te vais bien docer à jaser autrement.')",0.0,Match
423,"('#ragotin', ""Ah ! Monsieur le Docteur excusez je vous prie, Contre un de vos valets n'entrez point en furie : Je vivrai désormais respectueusement, Et répondrai toujours polysyllablement."")","('#ragotin', ""Ah ! Monsieur le Docteur, excusez, je vous prie ! Contre un de vos valets n'entrez point en furie : Je vivrai, désormais, respectueusement, Et répondrai toujours polisillabement."")",0.0,Match
424,"('#tersandre', ""Dominé, n'ayez point une anime inclémente."")","('#tersandre', ""Dominé, n'ayez point une anime inclémente."")",0.0,Match
425,"('#le-docteur', 'Je suivrai vos décrets inclite Rhadamante ! Mon sort dépend de vous Magistrat infernal ! Je salue en tremblant votre noir tribunal.')","('#le-docteur', 'Je suivrai vos décrets, inclyte Rhadamante. Mon sort dépend de vous, magistrat infernal ; Je salue, en tremblant, votre noir tribunal.')",0.0,Match
426,"('#ragotin', ""Faut-il jusqu'à ce point que votre esprit s'abuse ?"")","('#panfile', ""Faut-il jusqu'à ce point que votre esprit s'abuse ?"")",0.0,Match
427,"('#le-docteur', ""Ah Monseigneur Pluton je vous demande excuse ! Mon procédé sans doute a dû vous étonner, C'est devant vous d'abord qu'il se faut prosterner."")","('#le-docteur', ""Ah ! Monseigneur Pluton, je vous demande excuse ; Mon procédé, sans doute, a dû vous étonner : C'est devant vous d'abord qu'il se faut prosterner."")",0.0,Match
428,"('#isabelle', ""Reconnaissez Monsieur l'erreur qui vous domine."")","('#isabelle', ""Reconnaissez, Monsieur, l'erreur qui vous domine."")",0.0,Match
429,"('#le-docteur', 'Veuillez parler pour moi Madame Proserpine !')","('#le-docteur', 'Veuillez parler pour moi, Madame Proserpine.')",0.0,Match
430,"('#isabelle', 'Vous me connaissez mal ?')","('#isabelle', 'Vous me connaissez mal.')",0.0,Match
431,"('#le-docteur', ""Ne croyez pas cela, Jupiter n'est-il pas Monsieur votre papa ? Vous êtes de la Nuit la Déesse muante, Les charmes ont de vous leur force omnipotente : On vous offre des voeux sous les titres divers, De fille de la Terre et Reine des Enfers, Et Pluton fasciné de vos traits adorables, Vous emmena jadis par force à tous les diables."")","('#le-docteur', ""Ne croyez pas cela : Jupiter n'est-il pas Monsieur votre papa ? Vous êtes de la nuit la Déesse muante ; Les charmes ont de vous leur force omnipotente On vous offre des voeux sous les titres divers De fille de la Terre et Reine des Enfers ; Et Pluton, fasciné de vos traits adorables, Vous emmena jadis, par force, à tous les diables."")",0.0,Match
432,"('#marine', ""Plutôt que de l'entendre, il le faudrait chasser."")","('#marine', ""Plutôt que de l'entendre, il le faudrait chasser."")",0.0,Match
433,"('#le-docteur', ""Quoi ? Tu viens donc encor ici me traverser, Déesse de Discorde au crin serpentifère, Boute-feu, rabat-joie, exécrable Mégère, Maudit tison d'enfer !"")","('#le-docteur', ""Quoi ! Tu viens donc encore ici me traverser, Déesse de discorde au crin serpentifère, Boute-feu, rabat-joie, exécrable Mégère, Maudit tison d'enfer !"")",0.0,Match
434,"('#marine', 'Comme il rouille les yeux ! Madame sauvez-moi de ce fol furieux !')","('#marine', 'Comme il roule les yeux ! Madame, sauvez-moi de ce fol furieux !')",0.0,Match
435,"('#isabelle', 'Ne vous emportez pas.')","('#isabelle', 'Ne vous emportez pas.')",0.0,Match
436,"('#le-docteur', ""Soyez-moi donc propice ! Et je promets d'offrir ensuite en sacrifice Sur un autel qu'exprès je dresserai pour vous, Une vache bréhaigne avec deux hiboux."")","('#le-docteur', ""Soyez-moi donc propice Et je promets d'offrir ensuite en sacrifice, Sur un autel qu'exprès je dresserai pour vous, Une vache bréhaigne avecque deux hiboux."")",0.0,Match
437,"('#panfile', ""Combattre son erreur, c'est l'aigrir davantage, Tâchons en le flattant de le rendre plus sage."")","('#panfile', ""Combattre son erreur, c'est l'aigrir davantage Tâchons, en le flattant, de le rendre plus sage."")",0.0,Match
438,"('#le-docteur', ""Hé bien après avoir longuement consulté, Mes Juges infernaux qu'avez-vous décrété ?"")","('#le-docteur', ""Hé bien, après avoir longuement consulté, Mes juges infernaux, qu'avez-vous décrété ?"")",0.0,Match
439,"('#panfile', ""Qu'il faut dans votre corps retourner sur la terre ?"")","('#panfile', ""Qu'il faut dans votre corps retourner sur la terre."")",0.0,Match
440,"('#le-docteur', ""Dans mon corps ; mais faut-il qu'il soit encor de verre ?"")","('#le-docteur', ""Dans mon corps ! Mais faut-il qu'il soit encorde verre ?"")",0.0,Match
441,"('#panfile', ""Non, il n'en sera plus."")","('#panfile', ""Non, il n'en sera plus."")",0.0,Match
442,"('#le-docteur', 'Oserai-je en partant Vous consulter encor sur un point important ?')","('#le-docteur', 'Oserai-je, en partant, Vous consulter encor sur un point important ?')",0.0,Match
443,"('#panfile', 'Oui, parlez.')","('#panfile', 'Oui, parlez.')",0.0,Match
444,"('#le-docteur', ""Un vieillard d'humeur cacochymique Me défère en hymen sa géniture unique, Fille qui peut donner des passe-temps bien doux, Et qui me tente fort."")","('#le-docteur', ""Un vieillard d'humeur cacochymique Me défère en hymen sa géniture unique, Fille qui peut donner des passe-temps bien doux, Et qui me tente fort."")",0.0,Match
445,"('#panfile', 'Hé bien mariez-vous.')","('#panfile', 'Hé bien ! Mariez-vous.')",0.0,Match
446,"('#le-docteur', ""Mais si je marie, il faut quitter l'étude, En prenant femme, on prend beaucoup d'inquiétude, On est toujours troublé de nouveaux embarras, Cela m'effraye."")","('#le-docteur', ""Mais, si je me marie, il faut quitter l'étude. En prenant femme, on prend beaucoup d'inquiétude ; On est toujours troublé de nouveaux embarras : Cela m'effraye."")",0.0,Match
447,"('#panfile', 'Hé bien ne vous mariez pas.')","('#panfile', 'He bien ! Ne vous mariez pas.')",0.0,Match
448,"('#le-docteur', ""N'étant point marié si quelque mal m'accable, Je serai spolié du soin considérable Qu'une femme se donne alors pour un époux. C'est ce que j'appréhende."")","('#le-docteur', ""N'étant point marié, si quelque mal m'accable, Je serai spolié du soin considérable Qu'une femme se donne alors pour un époux ; C'est ce que j'appréhende."")",0.0,Match
449,"('#panfile', 'Hé bien mariez-vous.')","('#panfile', 'Hé bien ! Mariez-vous.')",0.0,Match
450,"('#le-docteur', ""Mais si durant mon mal ma femme avec Tersandre, Certain Godelureau qui ne vaut pas le pendre, Loin d'avoir soin de moi souhaitait mon trépas, J'enragerais."")","('#le-docteur', ""Mais si, durant mon mal, ma femme avec Tersandre, Certain godelureau qui ne vaut pas le pendre, Loin d'avoir soin de moi, souhaitait mon trépas, J'enragerais."")",0.0,Match
451,"('#panfile', 'Hé bien ne vous mariez pas.')","('#panfile', 'Hé bien ! Ne vous mariez pas.')",0.0,Match
452,"('#le-docteur', ""Mais vivant ainsi seul je mourrai sans lignée, À qui pouvoir laisser ma richesse épargnée ; Prenant femme, il naîtra quelque héritier de nous, Et j'en serai bien aise."")","('#le-docteur', ""Mais, vivant ainsi seul, je mourrai sans lignée, À qui pouvoir laisser ma richesse épargnée Prenant femme, il naîtra quelqu'héritier de nous, Et j'en serai bien aise."")",0.0,Match
453,"('#panfile', 'Hé bien mariez-vous.')","('#panfile', 'Hé bien ! Mariez-vous.')",0.0,Match
454,"('#le-docteur', ""Mais étant marié, si comme il se peut faire, Des fils qui me viendront quelque autre était le Père, Et s'il fallait pourtant les avoir sur les bras ? J'en tiendrais."")","('#le-docteur', ""Mais, étant marié, si, comme il se peut faire, Des fils qui me viendront quelqu'autre était le père, Et s'il fallait pourtant les avoir sur les bras, J'en tiendrais."")",0.0,Match
455,"('#panfile', 'Hé bien donc ne vous mariez pas.')","('#panfile', 'Hé bien donc, ne vous mariez pas.')",0.0,Match
